primaryTitle,startYear,numVotes,averageRating
Safety Last!,1923,24122,8.1
The Navigator,1924,11707,7.5
Sherlock Jr.,1924,62879,8.2
The General,1926,103483,8.1
Wings,1927,15564,7.5
"Steamboat Bill, Jr.",1928,17025,7.8
Little Caesar,1931,15188,7.2
The Most Dangerous Game,1932,14853,7.1
Scarface,1932,32127,7.7
Captain Blood,1935,16794,7.7
The Adventures of Robin Hood,1938,56527,7.9
Alexander Nevsky,1938,12821,7.5
Foreign Correspondent,1940,25189,7.4
The Mark of Zorro,1940,11575,7.5
The Sea Hawk,1940,11233,7.6
High Sierra,1941,20427,7.5
Sahara,1943,10539,7.5
Key Largo,1948,45814,7.7
Sands of Iwo Jima,1949,11971,7.0
The Set-Up,1949,10727,7.8
White Heat,1949,37390,8.1
Winchester '73,1950,23348,7.6
Bend of the River,1952,10590,7.2
Ivanhoe,1952,10851,6.7
The War of the Worlds,1953,40288,7.0
River of No Return,1954,13718,6.6
Seven Samurai,1954,387907,8.6
Mother India,1957,10198,7.8
The Enemy Below,1957,12943,7.4
The 7th Voyage of Sinbad,1958,15664,7.0
Run Silent Run Deep,1958,14065,7.3
The Vikings,1958,16646,7.0
Exodus,1960,12229,6.7
The Magnificent Seven,1960,107422,7.7
The Guns of Navarone,1961,58084,7.5
Yojimbo,1961,138833,8.2
Dr. No,1962,187259,7.2
Hatari!,1962,15173,7.1
How the West Was Won,1962,24670,7.1
The Longest Day,1962,61461,7.7
Sanjuro,1962,43022,8.0
From Russia with Love,1963,151988,7.3
It's a Mad Mad Mad Mad World,1963,49306,7.5
Jason and the Argonauts,1963,33018,7.3
Goldfinger,1964,210308,7.7
"Faster, Pussycat! Kill! Kill!",1965,16881,6.6
The Great Race,1965,20899,7.2
Thunderball,1965,132358,6.9
The Train,1964,20756,7.8
Von Ryan's Express,1965,15760,7.1
The Sword of Doom,1966,12697,7.9
Django,1966,32822,7.2
The Professionals,1966,19968,7.3
Tokyo Drifter,1966,10224,7.1
Asterix the Gaul,1967,12662,6.6
Bonnie and Clyde,1967,125360,7.7
The Dirty Dozen,1967,82125,7.7
Branded to Kill,1967,10766,7.2
You Only Live Twice,1967,122511,6.8
Bullitt,1968,79336,7.4
Battle of Britain,1969,25840,6.9
The Bridge at Remagen,1969,11318,6.7
The Italian Job,1969,52619,7.2
Mackenna's Gold,1969,10400,6.7
On Her Majesty's Secret Service,1969,104137,6.7
