primaryTitle,startYear,numVotes,averageRating
The Passion of Joan of Arc,1928,65750,8.1
Mutiny on the Bounty,1935,25934,7.6
Alexander Nevsky,1938,12821,7.5
Sergeant York,1941,20723,7.7
The Pride of the Yankees,1942,12590,7.6
Yankee Doodle Dandy,1942,17654,7.6
"Ivan the Terrible, Part I",1944,11384,7.7
Viva Zapata!,1952,13161,7.2
The Glenn Miller Story,1954,10253,7.3
The King and I,1956,28864,7.4
Lust for Life,1956,12899,7.3
Gunfight at the O.K. Corral,1957,18383,7.1
The Diary of Anne Frank,1959,14213,7.4
Inherit the Wind,1960,34509,8.1
Spartacus,1960,148696,7.9
El Cid,1961,16654,7.2
Birdman of Alcatraz,1962,20594,7.8
Lawrence of Arabia,1962,331175,8.3
The Miracle Worker,1962,21591,8.1
Cleopatra,1963,39578,7.0
Becket,1964,16614,7.7
The Gospel According to St. Matthew,1964,14547,7.6
The Greatest Story Ever Told,1965,12799,6.6
The Sound of Music,1965,278784,8.1
Andrei Rublev,1966,59199,8.0
A Man for All Seasons,1966,38989,7.7
Bonnie and Clyde,1967,125360,7.7
In Cold Blood,1967,30885,7.9
Funny Girl,1968,26502,7.4
The Lion in Winter,1968,35751,7.8
The Color of Pomegranates,1969,15400,7.6
Butch Cassidy and the Sundance Kid,1969,233077,8.0
Chisum,1970,11551,6.8
Patton,1970,112031,7.9
Waterloo,1970,13699,7.3
10 Rillington Place,1971,10528,7.5
The Devils,1971,20044,7.7
"Aguirre, the Wrath of God",1972,65674,7.8
Papillon,1973,142840,8.0
Pat Garrett & Billy the Kid,1973,22478,7.2
Serpico,1973,142068,7.7
Dersu Uzala,1975,35291,8.2
The Enigma of Kaspar Hauser,1974,19669,7.7
Lenny,1974,18621,7.5
Mirror,1975,55532,7.9
Dog Day Afternoon,1975,283473,8.0
The Message,1976,52796,8.1
The Message,1976,11503,8.9
The Buddy Holly Story,1978,10434,7.2
The Last Waltz,1978,21343,8.1
Midnight Express,1978,91720,7.5
Escape from Alcatraz,1979,158215,7.5
Coal Miner's Daughter,1980,21595,7.5
The Elephant Man,1980,274599,8.2
