primaryTitle,startYear,numVotes,averageRating
The Kid,1921,142211,8.2
Our Hospitality,1923,13142,7.7
Safety Last!,1923,24122,8.1
The Navigator,1924,11707,7.5
Sherlock Jr.,1924,62879,8.2
The Gold Rush,1925,125029,8.1
Seven Chances,1925,12520,7.8
The General,1926,103483,8.1
The Cameraman,1928,14003,8.0
The Circus,1928,37589,8.1
"Steamboat Bill, Jr.",1928,17025,7.8
Animal Crackers,1930,15746,7.4
L'Age d'Or,1930,15350,7.2
City Lights,1931,208388,8.5
Monkey Business,1931,14699,7.4
Horse Feathers,1932,13837,7.5
The Old Dark House,1932,14123,7.0
Trouble in Paradise,1932,16948,7.9
Duck Soup,1933,64369,7.7
42nd Street,1933,13505,7.3
Sons of the Desert,1933,10077,7.5
L'Atalante,1934,18227,7.7
It Happened One Night,1934,117258,8.1
The Thin Man,1934,33998,7.9
A Night at the Opera,1935,35769,7.8
Top Hat,1935,21578,7.7
After the Thin Man,1936,12703,7.6
Modern Times,1936,275014,8.5
Mr. Deeds Goes to Town,1936,24311,7.8
My Man Godfrey,1936,27731,7.9
Swing Time,1936,15219,7.4
The Awful Truth,1937,22557,7.7
A Day at the Races,1937,15060,7.5
My Favorite Wife,1940,12175,7.2
Bringing Up Baby,1938,68614,7.8
Holiday,1938,19469,7.7
Pygmalion,1938,10144,7.7
You Can't Take It with You,1938,29470,7.8
Destry Rides Again,1939,13117,7.6
Gunga Din,1939,13341,7.2
Mr. Smith Goes to Washington,1939,126763,8.1
Ninotchka,1939,24075,7.8
The Rules of the Game,1939,32636,7.9
The Women,1939,15682,7.7
The Great Dictator,1940,250339,8.4
His Girl Friday,1940,66011,7.8
The Philadelphia Story,1940,76658,7.8
Pinocchio,1940,167582,7.5
The Shop Around the Corner,1940,41865,8.0
Ball of Fire,1941,15158,7.7
The Lady Eve,1941,24699,7.7
Meet John Doe,1941,15839,7.6
Sullivan's Travels,1941,29910,7.9
Holiday Inn,1942,18840,7.3
I Married a Witch,1942,10326,7.1
The Palm Beach Story,1942,13488,7.4
To Be or Not to Be,1942,47636,8.1
Woman of the Year,1942,11488,7.1
Heaven Can Wait,1943,12958,7.3
Arsenic and Old Lace,1944,77208,7.9
Going My Way,1944,14330,7.0
Meet Me in St. Louis,1944,29759,7.5
To Have and Have Not,1944,39912,7.8
Anchors Aweigh,1945,9787,7.0
Christmas in Connecticut,1945,12968,7.3
Song of the South,1946,16062,6.9
The Bachelor and the Bobby-Soxer,1947,10073,7.2
The Bishop's Wife,1947,22552,7.6
The Ghost and Mrs. Muir,1947,21890,7.8
Miracle on 34th Street,1947,58158,7.9
Monsieur Verdoux,1947,20033,7.8
Abbott and Costello Meet Frankenstein,1948,20845,7.3
Mr. Blandings Builds His Dream House,1948,13346,7.2
Adam's Rib,1949,23868,7.4
The Adventures of Ichabod and Mr. Toad,1949,19220,6.8
Late Spring,1949,20676,8.2
Kind Hearts and Coronets,1949,40969,8.0
A Letter to Three Wives,1949,11362,7.7
On the Town,1949,19498,7.3
Born Yesterday,1950,13206,7.5
Father of the Bride,1950,13177,7.1
Harvey,1950,59962,7.9
Alice in Wonderland,1951,161637,7.3
Early Summer,1951,10285,8.0
The Lavender Hill Mob,1951,16439,7.5
The Man in the White Suit,1951,11289,7.2
Monkey Business,1952,16111,6.9
The Quiet Man,1952,44534,7.7
Singin' in the Rain,1952,274301,8.3
The Band Wagon,1953,13248,7.4
Calamity Jane,1953,11649,7.2
Gentlemen Prefer Blondes,1953,45641,7.1
How to Marry a Millionaire,1953,26031,6.8
Roman Holiday,1953,154202,8.0
Stalag 17,1953,60409,7.9
Monsieur Hulot's Holiday,1953,21305,7.3
I Vitelloni,1953,22221,7.8
Sabrina,1954,73658,7.6
Seven Brides for Seven Brothers,1954,28530,7.3
White Christmas,1954,55271,7.5
Guys and Dolls,1955,20329,7.1
Lady and the Tramp,1955,156448,7.3
