primaryTitle,startYear,numVotes,averageRating
The Lodger: A Story of the London Fog,1927,14418,7.3
Pandora's Box,1929,12547,7.7
Blackmail,1929,12982,6.9
Little Caesar,1931,15188,7.2
M,1931,178208,8.3
The Public Enemy,1931,24055,7.6
I Am a Fugitive from a Chain Gang,1932,15160,8.2
Scarface,1932,32127,7.7
The Testament of Dr. Mabuse,1933,14199,7.9
Trouble in Paradise,1932,16948,7.9
The Black Cat,1934,13813,6.9
The Man Who Knew Too Much,1934,22633,6.7
The Thin Man,1934,33998,7.9
The 39 Steps,1935,64330,7.6
After the Thin Man,1936,12703,7.6
Fury,1936,14379,7.8
Sabotage,1936,19935,7.0
Young and Innocent,1937,11638,6.8
Angels with Dirty Faces,1938,24211,7.9
The Lady Vanishes,1938,59747,7.7
Port of Shadows,1938,10480,7.7
The Hound of the Baskervilles,1939,12386,7.4
The Roaring Twenties,1939,16732,7.9
The Letter,1940,15372,7.5
The Maltese Falcon,1941,171525,7.9
This Gun for Hire,1942,11256,7.4
Le Corbeau,1943,11547,7.8
Arsenic and Old Lace,1944,77208,7.9
Double Indemnity,1944,175964,8.3
Gaslight,1944,36243,7.8
"Murder, My Sweet",1944,15655,7.5
The Woman in the Window,1944,18857,7.6
And Then There Were None,1945,17753,7.4
Detour,1945,21032,7.3
Mildred Pierce,1945,30297,7.9
Scarlet Street,1945,20469,7.7
The Big Sleep,1946,93624,7.9
The Blue Dahlia,1946,10153,7.1
The Killers,1946,25130,7.7
The Postman Always Rings Twice,1946,24036,7.4
The Stranger,1946,30016,7.3
Brute Force,1947,12302,7.5
Crossfire,1947,10407,7.3
Kiss of Death,1947,10166,7.4
Monsieur Verdoux,1947,20033,7.8
Odd Man Out,1947,12358,7.6
Out of the Past,1947,42878,8.0
The Big Clock,1948,10485,7.6
Key Largo,1948,45814,7.7
The Lady from Shanghai,1947,35554,7.5
The Naked City,1948,16428,7.5
Rope,1948,161187,7.9
Drunken Angel,1948,14157,7.6
Criss Cross,1949,10239,7.4
Kind Hearts and Coronets,1949,40969,8.0
Stray Dog,1949,20026,7.8
The Set-Up,1949,10727,7.8
White Heat,1949,37390,8.1
The Asphalt Jungle,1950,31808,7.8
D.O.A.,1949,13750,7.2
Gun Crazy,1950,16007,7.6
Night and the City,1950,16049,7.8
The Young and the Damned,1950,23003,8.2
Rashomon,1950,190871,8.2
Where the Sidewalk Ends,1950,10762,7.5
Strangers on a Train,1951,146153,7.9
The Lavender Hill Mob,1951,16439,7.5
The Big Heat,1953,31271,7.9
The Hitch-Hiker,1953,11244,6.9
I Confess,1953,24553,7.2
Pickup on South Street,1953,17077,7.6
The Barefoot Contessa,1954,13804,6.9
Diabolique,1955,71772,8.1
Dial M for Murder,1954,199253,8.2
On the Waterfront,1954,173581,8.1
The Wild One,1953,18637,6.7
Bad Day at Black Rock,1955,25489,7.7
Blackboard Jungle,1955,10284,7.4
Bob le Flambeur,1956,13948,7.6
The Desperate Hours,1955,11469,7.4
Rififi,1955,38242,8.1
Guys and Dolls,1955,20329,7.1
Kiss Me Deadly,1955,23081,7.5
The Ladykillers,1955,33088,7.6
The Man with the Golden Arm,1955,12847,7.3
The Night of the Hunter,1955,103385,8.0
We're No Angels,1955,11496,7.4
The Killing,1956,102536,7.9
The Man Who Knew Too Much,1956,73662,7.4
12 Angry Men,1957,936334,9.0
Love in the Afternoon,1957,17871,7.1
Witness for the Prosecution,1957,151542,8.4
Elevator to the Gallows,1958,30439,7.9
The Defiant Ones,1958,19257,7.6
House on Haunted Hill,1959,32866,6.7
Big Deal on Madonna Street,1958,12288,7.9
Touch of Evil,1958,113032,7.9
Pickpocket,1959,26725,7.6
The 400 Blows,1959,131928,8.0
Breathless,1960,91581,7.7
Purple Noon,1960,22621,7.7
Rocco and His Brothers,1960,24386,8.2
Shoot the Piano Player,1960,21435,7.4
The Hole,1960,22174,8.5
