primaryTitle,startYear,numVotes,averageRating
Intolerance,1916,17494,7.7
Broken Blossoms,1919,11519,7.2
The Kid,1921,142211,8.2
The Phantom Carriage,1921,15137,8.0
The Last Laugh,1924,16024,8.0
Battleship Potemkin,1925,63622,7.9
The Gold Rush,1925,125029,8.1
Greed,1924,11291,8.0
Faust,1926,17632,8.1
The Lodger: A Story of the London Fog,1927,14418,7.3
Metropolis,1927,195744,8.3
Sunrise,1927,55628,8.1
The Unknown,1927,9889,7.7
Wings,1927,15564,7.5
Pandora's Box,1929,12547,7.7
The Cameraman,1928,14003,8.0
The Crowd,1928,9728,8.0
The Passion of Joan of Arc,1928,65750,8.1
"Steamboat Bill, Jr.",1928,17025,7.8
Blackmail,1929,12982,6.9
All Quiet on the Western Front,1930,70366,8.1
The Blue Angel,1930,17119,7.6
Little Caesar,1931,15188,7.2
L'Age d'Or,1930,15350,7.2
City Lights,1931,208388,8.5
Dracula,1931,62429,7.3
Frankenstein,1931,84056,7.8
The Public Enemy,1931,24055,7.6
Freaks,1932,53023,7.8
Grand Hotel,1932,21766,7.3
I Am a Fugitive from a Chain Gang,1932,15160,8.2
The Old Dark House,1932,14123,7.0
Scarface,1932,32127,7.7
Shanghai Express,1932,11309,7.3
42nd Street,1933,13505,7.3
Zero for Conduct,1933,9744,7.2
L'Atalante,1934,18227,7.7
The Man Who Knew Too Much,1934,22633,6.7
Bride of Frankenstein,1935,56125,7.8
Mutiny on the Bounty,1935,25934,7.6
Dodsworth,1936,10735,7.7
Fury,1936,14379,7.8
Modern Times,1936,275014,8.5
Mr. Deeds Goes to Town,1936,24311,7.8
My Man Godfrey,1936,27731,7.9
The Petrified Forest,1936,15617,7.5
Things to Come,1936,9725,6.6
Captains Courageous,1937,11534,7.9
The Grand Illusion,1937,40290,8.1
The Life of Emile Zola,1937,9644,7.1
Lost Horizon,1937,15267,7.6
Make Way for Tomorrow,1937,10254,8.1
A Star Is Born,1937,11532,7.3
Young and Innocent,1937,11638,6.8
Alexander Nevsky,1938,12821,7.5
Angels with Dirty Faces,1938,24211,7.9
Jezebel,1938,15850,7.4
The Lady Vanishes,1938,59747,7.7
Pygmalion,1938,10144,7.7
Port of Shadows,1938,10480,7.7
You Can't Take It with You,1938,29470,7.8
Dark Victory,1939,13064,7.4
Gone with the Wind,1939,348375,8.2
"Goodbye, Mr. Chips",1939,12049,7.9
The Hunchback of Notre Dame,1939,12888,7.8
Mr. Smith Goes to Washington,1939,126763,8.1
Only Angels Have Wings,1939,16625,7.6
The Roaring Twenties,1939,16732,7.9
The Rules of the Game,1939,32636,7.9
Son of Frankenstein,1939,12583,7.1
Stagecoach,1939,56932,7.8
The Women,1939,15682,7.7
Wuthering Heights,1939,20824,7.5
Young Mr. Lincoln,1939,9647,7.5
Foreign Correspondent,1940,25189,7.4
The Grapes of Wrath,1940,105870,8.1
The Great Dictator,1940,250339,8.4
His Girl Friday,1940,66011,7.8
The Letter,1940,15372,7.5
The Mark of Zorro,1940,11575,7.5
Pride and Prejudice,1940,9693,7.4
Rebecca,1940,159756,8.1
The Shop Around the Corner,1940,41865,8.0
They Drive by Night,1940,9718,7.2
Waterloo Bridge,1940,11459,7.7
Citizen Kane,1941,484035,8.3
Dr. Jekyll and Mr. Hyde,1941,10363,6.8
Dumbo,1941,147840,7.2
High Sierra,1941,20427,7.5
How Green Was My Valley,1941,28104,7.7
The Little Foxes,1941,13749,7.9
The Maltese Falcon,1941,171525,7.9
Meet John Doe,1941,15839,7.6
Sergeant York,1941,20723,7.7
Sullivan's Travels,1941,29910,7.9
Suspicion,1941,45149,7.3
Bambi,1942,160776,7.3
Casablanca,1942,635872,8.5
Holiday Inn,1942,18840,7.3
The Magnificent Ambersons,1942,28002,7.6
Mrs. Miniver,1942,20524,7.6
"Now, Voyager",1942,20098,7.8
The Pride of the Yankees,1942,12590,7.6
Saboteur,1942,29068,7.1
The Talk of the Town,1942,9619,7.5
This Gun for Hire,1942,11256,7.4
Woman of the Year,1942,11488,7.1
Yankee Doodle Dandy,1942,17654,7.6
Le Corbeau,1943,11547,7.8
For Whom the Bell Tolls,1943,10805,6.8
Heaven Can Wait,1943,12958,7.3
I Walked with a Zombie,1943,14808,7.0
The Life and Death of Colonel Blimp,1943,17592,8.0
The Ox-Bow Incident,1943,26216,8.0
Sahara,1943,10539,7.5
Shadow of a Doubt,1943,73460,7.8
Day of Wrath,1943,11645,8.1
Double Indemnity,1944,175964,8.3
Gaslight,1944,36243,7.8
The Best Years of Our Lives,1946,75313,8.1
Going My Way,1944,14330,7.0
Jane Eyre,1943,9983,7.5
Laura,1944,54057,7.9
Lifeboat,1944,32750,7.6
Meet Me in St. Louis,1944,29759,7.5
"Murder, My Sweet",1944,15655,7.5
To Have and Have Not,1944,39912,7.8
The Woman in the Window,1944,18857,7.6
And Then There Were None,1945,17753,7.4
The Bells of St. Mary's,1945,10021,7.2
Brief Encounter,1945,46860,8.0
Dead of Night,1945,15166,7.5
Detour,1945,21032,7.3
Children of Paradise,1945,21988,8.3
I Know Where I'm Going!,1945,10814,7.4
"Ivan the Terrible, Part I",1944,11384,7.7
Leave Her to Heaven,1945,15915,7.6
The Lost Weekend,1945,42084,7.9
Mildred Pierce,1945,30297,7.9
The Picture of Dorian Gray,1945,15330,7.5
Scarlet Street,1945,20469,7.7
Spellbound,1945,54818,7.5
They Were Expendable,1945,9812,7.2
Beauty and the Beast,1946,29184,7.9
The Big Sleep,1946,93624,7.9
The Blue Dahlia,1946,10153,7.1
Duel in the Sun,1946,10076,6.7
Gilda,1946,37496,7.6
Great Expectations,1946,27602,7.8
It's a Wonderful Life,1946,530899,8.6
The Killers,1946,25130,7.7
A Matter of Life and Death,1946,26853,8.0
My Darling Clementine,1946,27383,7.7
Notorious,1946,111399,7.9
Paisan,1946,10201,7.6
The Postman Always Rings Twice,1946,24036,7.4
"Rome, Open City",1945,32362,8.0
The Spiral Staircase,1946,11962,7.3
The Strange Love of Martha Ivers,1946,11748,7.4
The Stranger,1946,30016,7.3
The Bishop's Wife,1947,22552,7.6
Black Narcissus,1947,29923,7.7
Brute Force,1947,12302,7.5
Crossfire,1947,10407,7.3
Dark Passage,1947,23248,7.5
Gentleman's Agreement,1947,18592,7.2
Germany Year Zero,1948,14651,7.8
The Ghost and Mrs. Muir,1947,21890,7.8
Kiss of Death,1947,10166,7.4
Miracle on 34th Street,1947,58158,7.9
Monsieur Verdoux,1947,20033,7.8
Nightmare Alley,1947,14073,7.7
Odd Man Out,1947,12358,7.6
Out of the Past,1947,42878,8.0
3 Godfathers,1948,11229,7.0
The Big Clock,1948,10485,7.6
Call Northside 777,1948,11059,7.4
The Fallen Idol,1948,10361,7.6
Fort Apache,1948,20720,7.4
Hamlet,1948,19309,7.5
Key Largo,1948,45814,7.7
Bicycle Thieves,1948,186799,8.2
The Lady from Shanghai,1947,35554,7.5
Letter from an Unknown Woman,1948,14424,7.8
The Naked City,1948,16428,7.5
Oliver Twist,1948,14442,7.8
Red River,1948,36578,7.7
The Red Shoes,1948,41819,8.1
Rope,1948,161187,7.9
"Sorry, Wrong Number",1948,13456,7.3
They Live by Night,1948,9997,7.4
The Treasure of the Sierra Madre,1948,138255,8.2
Drunken Angel,1948,14157,7.6
All the King's Men,1949,17628,7.4
Late Spring,1949,20676,8.2
Criss Cross,1949,10239,7.4
The Fountainhead,1949,11407,7.0
The Heiress,1949,18327,8.1
A Letter to Three Wives,1949,11362,7.7
Stray Dog,1949,20026,7.8
Orpheus,1950,14068,7.8
Sands of Iwo Jima,1949,11971,7.0
She Wore a Yellow Ribbon,1949,20277,7.2
The Third Man,1949,190776,8.1
Twelve O'Clock High,1949,16424,7.7
White Heat,1949,37390,8.1
All About Eve,1950,145651,8.2
The Asphalt Jungle,1950,31808,7.8
Born Yesterday,1950,13206,7.5
Broken Arrow,1950,10370,7.1
D.O.A.,1949,13750,7.2
Father of the Bride,1950,13177,7.1
Gun Crazy,1950,16007,7.6
Harvey,1950,59962,7.9
In a Lonely Place,1950,37666,7.9
Diary of a Country Priest,1951,13287,7.7
The Young and the Damned,1950,23003,8.2
Rashomon,1950,190871,8.2
Rio Grande,1950,18695,7.0
Sunset Boulevard,1950,250527,8.4
Treasure Island,1950,10177,6.9
Where the Sidewalk Ends,1950,10762,7.5
Winchester '73,1950,23348,7.6
The African Queen,1951,87137,7.7
An American in Paris,1951,38347,7.1
Early Summer,1951,10285,8.0
Ace in the Hole,1951,41053,8.1
The Day the Earth Stood Still,1951,88303,7.7
Detective Story,1951,9974,7.5
Forbidden Games,1952,13801,8.0
A Place in the Sun,1951,26053,7.7
Quo Vadis,1951,17766,7.1
A Christmas Carol,1951,27620,8.1
Strangers on a Train,1951,146153,7.9
A Streetcar Named Desire,1951,117956,7.9
Angel Face,1952,9718,7.2
The Bad and the Beautiful,1952,17265,7.7
Bend of the River,1952,10590,7.2
High Noon,1952,114175,7.9
Ikiru,1952,97596,8.3
Ivanhoe,1952,10851,6.7
Limelight,1952,23293,8.0
The Man in the White Suit,1951,11289,7.2
The Naked Spur,1953,13345,7.3
The Quiet Man,1952,44534,7.7
Othello,1951,9919,7.5
Umberto D.,1952,29799,8.1
Viva Zapata!,1952,13161,7.2
The Big Heat,1953,31271,7.9
From Here to Eternity,1953,53066,7.6
The Hitch-Hiker,1953,11244,6.9
Hondo,1953,13256,7.0
How to Marry a Millionaire,1953,26031,6.8
I Confess,1953,24553,7.2
Julius Caesar,1953,13677,7.2
The Earrings of Madame De...,1953,11736,7.9
Mogambo,1953,9597,6.6
Niagara,1953,21258,7.0
Pickup on South Street,1953,17077,7.6
The Robe,1953,12477,6.7
Roman Holiday,1953,154202,8.0
The Wages of Fear,1953,71180,8.1
Shane,1953,46286,7.6
Summer with Monika,1953,17119,7.5
Stalag 17,1953,60409,7.9
Tokyo Story,1953,74820,8.1
Ugetsu,1953,27359,8.1
Journey to Italy,1954,13245,7.3
I Vitelloni,1953,22221,7.8
"20,000 Leagues Under the Sea",1954,39183,7.2
The Barefoot Contessa,1954,13804,6.9
The Caine Mutiny,1954,31404,7.7
The Dam Busters,1955,11926,7.4
Diabolique,1955,71772,8.1
Dial M for Murder,1954,199253,8.2
The Glenn Miller Story,1954,10253,7.3
