primaryTitle,startYear,numVotes,averageRating
The Kid,1921,142211,8.2
The Cameraman,1928,14003,8.0
The Circus,1928,37589,8.1
Animal Crackers,1930,15746,7.4
Monkey Business,1931,14699,7.4
Horse Feathers,1932,13837,7.5
Sons of the Desert,1933,10077,7.5
Captains Courageous,1937,11534,7.9
A Day at the Races,1937,15060,7.5
Snow White and the Seven Dwarfs,1937,232159,7.6
Way Out West,1937,9358,7.6
A Christmas Carol,1938,9414,7.5
The Wizard of Oz,1939,453238,8.1
Fantasia,1940,108470,7.7
The Thief of Bagdad,1940,15347,7.4
How Green Was My Valley,1941,28104,7.7
Yankee Doodle Dandy,1942,17654,7.6
Meet Me in St. Louis,1944,29759,7.5
It's a Wonderful Life,1946,530899,8.6
Song of the South,1946,16062,6.9
Miracle on 34th Street,1947,58158,7.9
Abbott and Costello Meet Frankenstein,1948,20845,7.3
The Adventures of Ichabod and Mr. Toad,1949,19220,6.8
Samson and Delilah,1949,9500,6.8
Cinderella,1950,182089,7.3
Treasure Island,1950,10177,6.9
A Christmas Carol,1951,27620,8.1
Peter Pan,1953,160669,7.3
"20,000 Leagues Under the Sea",1954,39183,7.2
Around the World in 80 Days,1956,31080,6.7
The Court Jester,1955,14602,7.8
The Ten Commandments,1956,81766,7.9
Old Yeller,1957,16068,7.2
The 7th Voyage of Sinbad,1958,15664,7.0
Houseboat,1958,10166,6.6
Darby O'Gill and the Little People,1959,9870,7.1
The Diary of Anne Frank,1959,14213,7.4
Journey to the Center of the Earth,1959,20665,7.0
Good Morning,1959,11860,7.8
Sleeping Beauty,1959,167862,7.2
Pollyanna,1960,12078,7.4
Swiss Family Robinson,1960,19197,7.1
The Absent Minded Professor,1961,9746,6.7
Mysterious Island,1961,9274,6.7
The Parent Trap,1961,25461,7.2
The Music Man,1962,20113,7.7
Jason and the Argonauts,1963,33018,7.3
Mary Poppins,1964,193492,7.8
My Fair Lady,1964,105493,7.7
The Sound of Music,1965,278784,8.1
Those Magnificent Men in Their Flying Machines or How I Flew from London to Paris in 25 Hours 11 Minutes,1965,9581,7.0
Chitty Chitty Bang Bang,1968,53165,7.0
Oliver!,1968,43262,7.4
"Yours, Mine and Ours",1968,10561,7.1
Kes,1969,24567,7.9
Scrooge,1970,13331,7.5
Fiddler on the Roof,1971,50380,8.0
Willy Wonka & the Chocolate Factory,1971,238239,7.8
1776,1972,10936,7.6
Three Wishes for Cinderella,1973,12760,7.6
The Pinchcliffe Grand Prix,1975,14841,8.4
The Bad News Bears,1976,26512,7.3
Bugsy Malone,1976,20330,6.8
The Many Adventures of Winnie the Pooh,1977,41546,7.5
The Black Stallion,1979,14830,7.4
The Muppet Movie,1979,41269,7.6
My Bodyguard,1980,11369,7.1
Annie,1982,51859,6.6
The Dark Crystal,1982,74959,7.1
E.T. the Extra-Terrestrial,1982,456306,7.9
A Christmas Story,1983,175400,7.9
The Karate Kid,1984,262025,7.3
Ronia: The Robber's Daughter,1984,12731,7.3
The NeverEnding Story,1984,165074,7.3
The Goonies,1985,315488,7.7
Pee-wee's Big Adventure,1985,62168,7.1
Return to Oz,1985,32660,6.7
Flight of the Navigator,1986,53837,6.9
The Great Mouse Detective,1986,57111,7.1
Labyrinth,1986,158623,7.3
Short Circuit,1986,68919,6.6
Castle in the Sky,1986,192063,8.0
*batteries not included,1987,39163,6.6
The Brave Little Toaster,1987,28733,7.2
Where Is the Friend's House?,1987,21199,8.1
The Princess Bride,1987,470239,8.0
Hairspray,1988,24582,7.0
Alice,1988,14720,7.4
The Bear,1988,19827,7.7
My Neighbor Totoro,1988,411771,8.1
The Adventures of Milo and Otis,1986,13236,6.9
Field of Dreams,1989,135115,7.5
The Little Mermaid,1989,303714,7.6
Kiki's Delivery Service,1989,179148,7.8
Home Alone,1990,700462,7.7
The Witches,1990,57409,6.8
Beauty and the Beast,1991,494978,8.0
Father of the Bride,1991,88555,6.6
Hook,1991,283669,6.8
My Girl,1991,94063,6.9
The Rocketeer,1991,64212,6.6
White Fang,1991,23506,6.7
FernGully: The Last Rainforest,1992,36022,6.6
The Mighty Ducks,1992,74644,6.6
The Muppet Christmas Carol,1992,76629,7.8
Newsies,1992,23571,6.9
Cool Runnings,1993,118508,7.0
Hocus Pocus,1993,164946,6.9
Mrs. Doubtfire,1993,305921,7.1
The Nightmare Before Christmas,1993,396924,7.9
The Sandlot,1993,109954,7.8
The Secret Garden,1993,47030,7.3
Black Beauty,1994,11089,6.6
Heavyweights,1995,32256,6.6
Iron Will,1994,9847,6.6
Little Women,1994,66591,7.3
Miracle on 34th Street,1994,47436,6.6
The Santa Clause,1994,141194,6.6
The Secret of Roan Inish,1994,10388,7.4
Babe,1995,139288,6.9
Jumanji,1995,398797,7.1
A Little Princess,1995,38185,7.6
Whisper of the Heart,1995,79278,7.8
Fly Away Home,1996,28109,6.9
The Hunchback of Notre Dame,1996,179214,7.0
James and the Giant Peach,1996,76784,6.7
Matilda,1996,187497,7.0
Children of Heaven,1997,86695,8.2
Fantasia 2000,1999,42991,7.1
Simon Birch,1998,22658,6.8
October Sky,1999,104228,7.8
Treasure Planet,2002,142295,7.2
My Dog Skip,2000,21794,7.0
Kirikou and the Sorceress,1998,11398,7.5
The Color of Paradise,1999,18924,8.1
My Neighbors the Yamadas,1999,17081,7.1
Harry Potter and the Sorcerer's Stone,2001,910277,7.7
Spirited Away,2001,919333,8.6
Asterix & Obelix: Mission Cleopatra,2002,60944,6.7
The Rookie,2002,38462,6.9
Tuck Everlasting,2002,26271,6.6
Harry Potter and the Chamber of Secrets,2002,734410,7.4
Whale Rider,2002,44948,7.5
Harry Potter and the Prisoner of Azkaban,2004,734344,7.9
Finding Neverland,2004,215241,7.6
Peter Pan,2003,83056,6.8
Elf,2003,330911,7.1
Secondhand Lions,2003,64778,7.5
Coraline,2009,286181,7.8
Harry Potter and the Goblet of Fire,2005,722337,7.7
The Polar Express,2004,258436,6.6
Two Brothers,2004,16336,7.0
A Series of Unfortunate Events,2004,227163,6.8
Howl's Moving Castle,2004,488166,8.2
An Unfinished Life,2005,35066,7.0
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,446012,6.9
Charlie and the Chocolate Factory,2005,554003,6.7
Harry Potter and the Order of the Phoenix,2007,671136,7.5
Monster House,2006,148282,6.7
Where the Wild Things Are,2009,110662,6.7
Waqt: The Race Against Time,2005,11292,6.7
Nanny McPhee,2005,89186,6.6
Eight Below,2006,70408,7.3
Bridge to Terabithia,2007,183742,7.2
Little Manhattan,2005,25397,7.4
Martian Child,2007,21272,6.7
Harry Potter and the Half-Blood Prince,2009,632383,7.6
Dreamer,2005,14477,6.8
Veer-Zaara,2004,60914,7.8
March of the Penguins,2005,61330,7.5
Akeelah and the Bee,2006,22544,7.4
My Father and My Son,2005,98042,8.2
The Ultimate Gift,2006,21951,7.3
The Secret of Kells,2009,39803,7.5
Vivah,2006,11642,6.7
The Nativity Story,2006,12739,6.8
Marley & Me,2008,172614,7.0
Hotel Transylvania,2012,299672,7.0
Chak De! India,2007,87997,8.1
WALL·E,2008,1269960,8.4
Harry Potter and the Deathly Hallows: Part 1,2010,635632,7.7
Hugo,2011,344162,7.5
5 Centimeters per Second,2007,68114,7.4
Taare Zameen Par,2007,220755,8.3
The Song of Sparrows,2008,11596,7.9
Home,2009,23317,8.5
A Boy Called Christmas,2021,29483,6.7
Hachi: A Dog's Tale,2009,330793,8.1
Secretariat,2010,31894,7.2
#Home,2021,17408,8.7
My Sister's Keeper,2009,101273,7.3
Spirited,2022,55879,6.6
Paddington,2014,148870,7.3
Rescued by Ruby,2022,12363,7.2
8-Bit Christmas,2021,23807,6.7
Harry Potter and the Deathly Hallows: Part 2,2011,1004717,8.1
The Muppets,2011,99261,7.1
Secret of the Wings,2012,15428,7.0
Little Nicholas,2009,14616,7.1
The Great Indian Kitchen,2021,10802,8.1
We Bought a Zoo,2011,156957,7.0
Goodbye,2022,10617,6.7
The Odd Life of Timothy Green,2012,49666,6.6
Dolphin Tale,2011,26380,6.8
Soul Surfer,2011,54747,7.0
Million Dollar Arm,2014,48782,7.0
Diary of a Wimpy Kid: Rodrick Rules,2011,39887,6.6
Goodbye Christopher Robin,2017,30951,7.1
Cinderella,2015,199724,6.9
