primaryTitle,startYear,numVotes,averageRating
The Phantom Carriage,1921,15137,8.0
Häxan,1922,18186,7.6
Nosferatu: A Symphony of Horror,1922,119617,7.8
Faust,1926,17632,8.1
Dracula,1931,62429,7.3
The Mummy,1932,32051,7.0
Vampyr,1932,21873,7.4
Lost Horizon,1937,15267,7.6
The Wizard of Oz,1939,453238,8.1
Fantasia,1940,108470,7.7
The Thief of Bagdad,1940,15347,7.4
Cat People,1942,27575,7.2
I Married a Witch,1942,10326,7.1
Heaven Can Wait,1943,12958,7.3
I Walked with a Zombie,1943,14808,7.0
The Uninvited,1944,13148,7.2
Dead of Night,1945,15166,7.5
The Picture of Dorian Gray,1945,15330,7.5
Beauty and the Beast,1946,29184,7.9
It's a Wonderful Life,1946,530899,8.6
A Matter of Life and Death,1946,26853,8.0
The Bishop's Wife,1947,22552,7.6
The Ghost and Mrs. Muir,1947,21890,7.8
Abbott and Costello Meet Frankenstein,1948,20845,7.3
Orpheus,1950,14068,7.8
Cinderella,1950,182089,7.3
Harvey,1950,59962,7.9
A Christmas Carol,1951,27620,8.1
Ugetsu,1953,27359,8.1
Curse of the Demon,1957,16566,7.4
The Seventh Seal,1957,210126,8.1
Bell Book and Candle,1958,14072,6.8
Journey to the Center of the Earth,1959,20665,7.0
The Exterminating Angel,1962,37162,8.0
Kwaidan,1964,21661,7.9
Mary Poppins,1964,193492,7.8
Juliet of the Spirits,1965,15350,7.4
Simon of the Desert,1965,11429,7.8
Bedazzled,1967,10152,6.7
Viy,1967,10801,7.2
Chitty Chitty Bang Bang,1968,53165,7.0
Fellini's Satyricon,1969,17796,6.8
Scrooge,1970,13331,7.5
Valerie and Her Week of Wonders,1970,12467,7.0
The Discreet Charm of the Bourgeoisie,1972,49342,7.7
The Spirit of the Beehive,1973,21928,7.7
The Golden Voyage of Sinbad,1973,11285,6.8
The Holy Mountain,1973,50802,7.7
Monty Python and the Holy Grail,1975,590873,8.2
Phantom of the Paradise,1974,24559,7.3
Eraserhead,1977,138252,7.3
The Last Wave,1977,11915,6.9
"Oh, God!",1977,11318,6.6
Star Wars: Episode IV - A New Hope,1977,1520959,8.6
Heaven Can Wait,1978,24841,6.9
Star Wars: Episode V - The Empire Strikes Back,1980,1453875,8.7
Somewhere in Time,1980,34808,7.2
Time Bandits,1981,72252,6.9
Clash of the Titans,1981,49886,6.9
Conan the Barbarian,1982,169027,6.9
Dragonslayer,1981,21059,6.6
Excalibur,1981,70638,7.3
Heavy Metal,1981,40297,6.6
Creepshow,1982,55738,6.8
The Dark Crystal,1982,74959,7.1
Pink Floyd: The Wall,1982,88131,8.0
The Dead Zone,1983,81630,7.2
Star Wars: Episode VI - Return of the Jedi,1983,1173117,8.3
Something Wicked This Way Comes,1983,11377,6.7
All of Me,1984,20701,6.7
The Company of Wolves,1984,19965,6.6
Ghostbusters,1984,472880,7.8
Gremlins,1984,263288,7.3
The Purple Rose of Cairo,1985,57783,7.6
Return to Oz,1985,32660,6.7
Vampire Hunter D,1985,19145,7.0
Young Sherlock Holmes,1985,24336,6.8
Highlander,1986,153969,7.0
Labyrinth,1986,158623,7.3
*batteries not included,1987,39163,6.6
Wings of Desire,1987,81348,7.9
The Monster Squad,1987,37527,6.9
A Nightmare on Elm Street 3: Dream Warriors,1987,95872,6.7
A Chinese Ghost Story,1987,11832,7.3
The Witches of Eastwick,1987,81545,6.6
Akira,1988,217488,8.0
Beetlejuice,1988,405536,7.5
Big,1988,251501,7.3
Alice,1988,14720,7.4
Scrooged,1988,123733,6.9
The Adventures of Baron Munchausen,1988,58734,7.1
Field of Dreams,1989,135115,7.5
Ghostbusters II,1989,234401,6.6
Kiki's Delivery Service,1989,179148,7.8
Meet the Feebles,1989,22799,6.6
Wicked City,1987,10904,6.7
Edward Scissorhands,1990,548828,7.8
Ghost,1990,248973,7.1
Dreams,1990,31244,7.7
The Addams Family,1991,192298,7.0
Beauty and the Beast,1991,494978,8.0
Defending Your Life,1991,22532,7.2
The Double Life of Véronique,1991,55499,7.6
The Fisher King,1991,94326,7.5
L.A. Story,1991,35345,6.7
Truly Madly Deeply,1990,10383,7.2
Batman Returns,1992,341472,7.1
Dead Alive,1992,107337,7.5
Dracula,1992,257461,7.4
Cronos,1992,34818,6.7
Death Becomes Her,1992,143133,6.7
Addams Family Values,1993,117714,6.8
Arizona Dream,1993,47011,7.2
Groundhog Day,1993,720693,8.0
Heart and Souls,1993,19687,7.0
Hocus Pocus,1993,164946,6.9
The Nightmare Before Christmas,1993,396924,7.9
Orlando,1992,20047,7.1
The Secret Garden,1993,47030,7.3
The Visitors,1993,39776,7.0
The Hudsucker Proxy,1994,88396,7.2
Interview with the Vampire,1994,364962,7.5
The Mask,1994,450598,7.0
Miracle on 34th Street,1994,47436,6.6
The Secret of Roan Inish,1994,10388,7.4
The City of Lost Children,1995,73671,7.4
In the Mouth of Madness,1994,84476,7.1
Karan Arjun,1995,17015,6.8
A Little Princess,1995,38185,7.6
Mighty Aphrodite,1995,44069,7.0
Powder,1995,33931,6.6
Tales from the Crypt: Demon Knight,1995,27469,6.7
Underground,1995,63021,8.0
The Frighteners,1996,99471,7.1
The God of Cookery,1996,10425,7.2
Matilda,1996,187497,7.0
Mystery Science Theater 3000: The Movie,1996,19180,7.1
Dark City,1998,220752,7.6
The Devil's Advocate,1997,426816,7.5
Liar Liar,1997,352324,6.9
Meet Joe Black,1998,286837,7.2
Princess Mononoke,1997,464105,8.3
Sliding Doors,1998,73749,6.7
Being John Malkovich,1999,363356,7.7
The Mummy,1999,485026,7.1
City of Angels,1998,132023,6.7
The Green Mile,1999,1496990,8.6
The Lord of the Rings: The Fellowship of the Ring,2001,2123069,8.9
Pleasantville,1998,140462,7.5
What Dreams May Come,1998,117945,7.0
Fantasia 2000,1999,42991,7.1
Star Wars: Episode II - Attack of the Clones,2002,795805,6.6
Star Wars: Episode III - Revenge of the Sith,2005,891459,7.6
Dragon Ball Z: Broly - The Legendary Super Saiyan,1993,12869,7.4
"South Park: Bigger, Longer & Uncut",1999,221051,7.7
Sleepy Hollow,1999,401245,7.3
After Life,1998,14925,7.6
Hellboy,2004,362708,6.9
The Lord of the Rings: The Return of the King,2003,2091407,9.0
The Lord of the Rings: The Two Towers,2002,1886116,8.8
Ginger Snaps,2000,55586,6.8
The Family Man,2000,126557,6.8
The Gift,2000,78519,6.7
Intacto,2001,13923,6.8
Harry Potter and the Sorcerer's Stone,2001,910277,7.7
Waking Life,2001,68570,7.6
Koi... Mil Gaya,2003,29683,7.2
Vanilla Sky,2001,297712,6.9
A Dog's Will,2000,20510,8.6
Bubba Ho-Tep,2002,53113,6.9
Tuck Everlasting,2002,26271,6.6
Shaolin Soccer,2001,93880,7.3
Millennium Actress,2001,34837,7.8
Harry Potter and the Chamber of Secrets,2002,734410,7.4
Harry Potter and the Prisoner of Azkaban,2004,734344,7.9
The Happiness of the Katakuris,2001,10410,6.9
Bruce Almighty,2003,455335,6.8
Peter Pan,2003,83056,6.8
Russian Ark,2002,22480,7.2
Big Fish,2003,470886,8.0
Underworld,2003,295076,7.0
Pirates of the Caribbean: The Curse of the Black Pearl,2003,1275361,8.1
Harry Potter and the Goblet of Fire,2005,722337,7.7
If Only,2004,34636,7.0
The Science of Sleep,2006,71640,7.2
Constantine,2005,395797,7.0
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,446012,6.9
The Jacket,2005,122449,7.1
Mirrormask,2005,24055,6.7
Kung Fu Hustle,2004,158068,7.7
The Lovely Bones,2009,186877,6.6
Pirates of the Caribbean: Dead Man's Chest,2006,801993,7.4
Perfume: The Story of a Murderer,2006,273929,7.5
Nanny McPhee,2005,89186,6.6
Bridge to Terabithia,2007,183742,7.2
Underworld: Evolution,2006,214694,6.7
The Lake House,2006,162307,6.8
Hellboy II: The Golden Army,2008,294310,7.0
Stranger Than Fiction,2006,241584,7.5
The Curious Case of Benjamin Button,2008,725475,7.8
Just Like Heaven,2005,122733,6.7
Survive Style 5+,2004,10349,7.4
The Flash,2023,236052,6.6
The Illusionist,2006,398426,7.5
Across the Universe,2007,116400,7.3
Scott Pilgrim vs. the World,2010,484219,7.5
Pirates of the Caribbean: At World's End,2007,723288,7.1
1408,2007,306095,6.8
Wonder Woman,2017,722578,7.3
The Time Traveler's Wife,2009,162760,7.1
Life of Pi,2012,687632,7.9
Pan's Labyrinth,2006,728209,8.2
Scoop,2006,89482,6.6
The Fall,2006,123959,7.8
Inland Empire,2006,66635,6.8
Penelope,2006,68294,6.7
Angel-A,2005,36692,7.0
Shinobi: Heart Under Blade,2005,13101,6.8
Wristcutters: A Love Story,2006,58935,7.2
The Tree of Life,2011,189030,6.8
Mr. Nobody,2009,253042,7.7
Stardust,2007,293297,7.6
Avatar,2009,1437148,7.9
The Man from Earth,2007,210882,7.8
Death Note,2006,32772,7.5
Thirst,2009,53348,7.1
Thor,2011,938679,7.0
Warcraft,2016,290013,6.7
The Bothersome Man,2006,18693,7.2
Paprika,2006,105870,7.7
The Hobbit: An Unexpected Journey,2012,906424,7.8
Harry Potter and the Deathly Hallows: Part 1,2010,635632,7.7
Tokyo!,2008,12423,7.0
Ghost Town,2008,79605,6.7
Atlantics,2019,10971,6.7
Suspiria,2018,100585,6.7
Nine Days,2020,13066,6.8
The Imaginarium of Doctor Parnassus,2009,156217,6.7
Ink,2009,22745,6.8
Spider-Man: No Way Home,2021,962661,8.2
Spirited,2022,55879,6.6
The Map of Tiny Perfect Things,2021,31485,6.8
Let the Right One In,2008,234386,7.8
Undine,2020,10074,6.6
The Hobbit: The Desolation of Smaug,2013,734974,7.8
Triangle,2009,141617,6.9
Enter the Void,2009,92060,7.2
Harry Potter and the Deathly Hallows: Part 2,2011,1004717,8.1
Doctor Strange,2016,849209,7.5
Secret of the Wings,2012,15428,7.0
Let Me In,2010,130831,7.1
Mickey 17,2025,171006,6.8
Zack Snyder's Justice League,2021,458892,7.9
Looking for Eric,2009,18399,7.1
This Is the End,2013,446578,6.6
Wicked,2024,172602,7.4
Ghostbusters,2016,253898,6.8
Eva,2011,10599,6.6
Pirates of the Caribbean: On Stranger Tides,2011,589855,6.6
Petite Maman,2021,19731,7.4
If I Stay,2014,130163,6.7
Karthikeya 2,2022,64795,7.8
Jaadugar,2022,12024,6.8
Rare Exports,2010,33974,6.6
Better Man,2024,33561,7.6
Jujutsu Kaisen 0,2021,51344,7.8
Magadheera,2009,26636,7.7
Aquaman,2018,540231,6.8
Demon Slayer: Kimetsu no Yaiba - Mt. Natagumo Arc,2020,17496,8.7
Mad God,2021,18414,6.8
Barbie,2023,615726,6.8
What Happened to Monday,2017,140819,6.8
Hanu Man,2024,29527,7.7
Khaleja,2010,10648,7.6
Uncle Boonmee Who Can Recall His Past Lives,2010,18384,6.7
Midnight in Paris,2011,462944,7.6
Avatar: The Way of Water,2022,538811,7.5
Demon Slayer: Kimetsu no Yaiba - Tsuzumi Mansion Arc,2021,32808,8.5
The Age of Adaline,2015,222001,7.2
Only Lovers Left Alive,2013,112476,7.2
Troll Hunter,2010,81660,6.9
Odd Thomas,2013,60154,6.8
Ruby Sparks,2012,107484,7.2
Blancanieves,2012,11962,7.5
A Pigeon Sat on a Branch Reflecting on Existence,2014,20179,6.9
Thor: The Dark World,2013,755865,6.7
Alice the Musical,2023,11054,6.9
Beetlejuice Beetlejuice,2024,156045,6.6
To the Forest of Firefly Lights,2011,23897,7.8
Holy Motors,2012,50402,7.0
In Your Eyes,2014,32630,6.9
Beasts of the Southern Wild,2012,86089,7.2
Dream Scenario,2023,87015,6.8
About Time,2013,415915,7.8
OMG: Oh My God!,2012,68503,8.1
The Hobbit: The Battle of the Five Armies,2014,600053,7.4
Parthenope,2024,14970,6.6
Star Wars: Episode VIII - The Last Jedi,2017,699698,6.9
The One I Love,2014,45632,7.0
Beauty and the Beast,2017,349671,7.1
Thou Gild'st the Even,2013,11012,7.7
Manam,2014,12522,7.9
Fantastic Beasts and Where to Find Them,2016,527431,7.2
Kong: Skull Island,2017,365050,6.7
The Brand New Testament,2015,36403,7.1
The Innocents,2021,28249,7.0
Swiss Army Man,2016,137999,6.9
The Legend of Maula Jatt,2022,11382,8.5
Look Who's Back,2015,52347,7.0
Telling Tales,2015,17156,7.3
The Witch,2015,334822,7.0
Under the Shadow,2016,31428,6.8
Ivy,2015,14201,7.9
Ghostbusters: Afterlife,2021,234183,7.0
Nosferatu,2024,216016,7.2
Kannappa,2025,20141,6.6
Your Name.,2016,362938,8.4
Border,2018,36356,7.0
The Shape of Water,2017,462608,7.3
Doctor Sleep,2019,233029,7.3
On Body and Soul,2017,30905,7.5
Sorry to Bother You,2018,92112,6.9
The Little Mermaid,2023,173582,7.2
A Ghost Story,2017,84267,6.8
Thelma,2017,38335,6.9
Happy as Lazzaro,2018,22443,7.5
Shadow,2018,19220,7.0
Mirage,2018,68679,7.4
The Lighthouse,2019,285835,7.4
Yesterday,2019,177061,6.8
Tumbbad,2018,69334,8.2
Violet Evergarden: The Movie,2020,12610,8.3
Freaks,2018,43564,6.7
La belle époque,2019,21154,7.4
Constantine: City of Demons - The Movie,2018,10248,7.3
