primaryTitle,startYear,numVotes,averageRating
Intolerance,1916,17494,7.7
Battleship Potemkin,1925,63622,7.9
Napoleon,1927,9449,8.2
October (Ten Days that Shook the World),1928,8818,7.4
The Passion of Joan of Arc,1928,65750,8.1
Queen Christina,1933,9021,7.5
Triumph of the Will,1935,19253,7.1
Captain Blood,1935,16794,7.7
The Sea Hawk,1940,11233,7.6
Sergeant York,1941,20723,7.7
For Whom the Bell Tolls,1943,10805,6.8
Day of Wrath,1943,11645,8.1
"Ivan the Terrible, Part I",1944,11384,7.7
Macbeth,1948,8209,7.4
Battleground,1949,8273,7.4
Samson and Delilah,1949,9500,6.8
Viva Zapata!,1952,13161,7.2
Julius Caesar,1953,13677,7.2
The Robe,1953,12477,6.7
The Dam Busters,1955,11926,7.4
Sissi,1955,10627,7.0
Anastasia,1956,9929,7.0
"Ivan the Terrible, Part II: The Boyars' Plot",1946,8463,7.7
A Night to Remember,1958,18552,7.9
The Vikings,1958,16646,7.0
The Bridge,1959,9049,7.9
The Human Condition I: No Greater Love,1959,10329,8.5
The Human Condition II: Road to Eternity,1959,8274,8.5
The Alamo,1960,18835,6.8
Inherit the Wind,1960,34509,8.1
Sink the Bismarck!,1960,8781,7.2
El Cid,1961,16654,7.2
The Longest Day,1962,61461,7.7
Mutiny on the Bounty,1962,18797,7.2
Cleopatra,1963,39578,7.0
The Leopard,1963,32596,7.9
Becket,1964,16614,7.7
The Fall of the Roman Empire,1964,10844,6.7
The Gospel According to St. Matthew,1964,14547,7.6
Zulu,1964,44785,7.7
The Agony and the Ecstasy,1965,8545,7.2
Battle of the Bulge,1965,18610,6.8
Chimes at Midnight,1965,10782,7.6
The Greatest Story Ever Told,1965,12799,6.6
Andrei Rublev,1966,59199,8.0
A Man for All Seasons,1966,38989,7.7
The Lion in Winter,1968,35751,7.8
The Color of Pomegranates,1969,15400,7.6
Anne of the Thousand Days,1969,8533,7.4
Battle of Britain,1969,25840,6.9
The Wild Child,1970,9284,7.5
The Decameron,1971,13154,7.0
Tora! Tora! Tora!,1970,38790,7.5
Woodstock,1970,19095,8.1
The Devils,1971,20044,7.7
Delusions of Grandeur,1971,8496,7.1
Macbeth,1971,15646,7.4
1776,1972,10936,7.6
Jesus Christ Superstar,1973,31619,7.3
The Enigma of Kaspar Hauser,1974,19669,7.7
The Story of Adele H,1975,9528,7.2
1900,1976,28390,7.6
All the President's Men,1976,131855,7.9
Casanova,1976,9181,7.0
The Message,1976,52796,8.1
Midway,1976,22544,6.8
The Message,1976,11503,8.9
A Bridge Too Far,1977,65103,7.4
The Tree of Wooden Clogs,1978,8584,7.8
Breaker Morant,1980,15057,7.8
Kagemusha: The Shadow Warrior,1980,39894,7.9
Lion of the Desert,1980,18391,8.2
Gallipoli,1981,43503,7.4
History of the World: Part I,1981,57386,6.8
Reds,1981,25803,7.3
Gandhi,1982,244511,8.0
Missing,1982,24801,7.7
Silkwood,1983,23736,7.1
The Bounty,1984,33217,7.1
The Killing Fields,1984,62154,7.8
A Passage to India,1984,22376,7.3
The Official Story,1985,11413,7.7
Shoah,1985,11188,8.7
The Mission,1986,69012,7.4
Salvador,1986,24178,7.3
Cry Freedom,1987,15021,7.4
Red Sorghum,1988,10338,7.3
The Last Emperor,1987,116467,7.7
Matewan,1987,9927,7.9
Eight Men Out,1988,23297,7.2
Glory,1989,149903,7.8
Henry V,1989,32733,7.5
The Winter War,1989,9015,7.6
Cyrano de Bergerac,1990,26921,7.5
Europa Europa,1990,18114,7.5
JFK,1991,177195,8.0
Tous les matins du monde,1991,8247,7.5
Wuthering Heights,1992,14906,6.6
Malcolm X,1992,107300,7.7
Newsies,1992,23571,6.9
The Legend,1993,8625,7.1
Geronimo: An American Legend,1993,14505,6.6
Gettysburg,1993,32599,7.6
King of the Hill,1993,9172,7.3
Schindler's List,1993,1534052,9.0
Tombstone,1993,183844,7.8
Quiz Show,1994,75709,7.5
Queen Margot,1994,19781,7.4
The War,1994,14068,6.8
Apollo 13,1995,327845,7.7
Nixon,1995,33882,7.0
Restoration,1995,10205,6.6
The Crucible,1996,41793,6.8
Ghosts of Mississippi,1996,12542,6.7
"Pretty Village, Pretty Flame",1996,18506,8.6
Michael Collins,1996,35259,7.1
Ridicule,1996,8421,7.3
Amistad,1997,85642,7.3
Bent,1997,9146,7.1
Border,1997,18548,7.9
Mrs. Brown,1997,16144,7.2
Kundun,1997,31432,7.0
Rosewood,1997,9177,7.2
The Barber of Siberia,1998,13149,7.6
The 13th Warrior,1999,136580,6.6
The Thin Red Line,1998,207740,7.6
Titus,1999,21958,7.0
Elizabeth,1998,108429,7.4
Shakespeare in Love,1998,239401,7.1
The Insider,1999,187522,7.8
Sunshine,1999,16213,7.4
Thirteen Days,2000,65108,7.3
Nowhere in Africa,2001,14511,7.5
Anna and the King,1999,39877,6.7
Vatel,2000,8441,6.6
The Dish,2000,17496,7.2
Taboo,1999,8311,6.8
Propaganda,1999,10420,7.1
Hey Ram,2000,14706,8.0
The Grey Zone,2001,11846,7.0
"Saban, Son of Saban",1977,19484,8.7
The Foster Brothers,1976,21926,8.8
Tosun Pasha,1976,25680,8.9
Black Hawk Down,2001,442137,7.7
K-19: The Widowmaker,2002,70124,6.7
Vizontele,2001,40313,8.0
The Warrior,2001,11420,7.1
We Were Soldiers,2002,156385,7.2
Bloody Sunday,2002,26334,7.6
Bobby,2006,43506,7.0
Luther,2003,16430,6.6
The Fog of War,2003,25768,8.0
Russian Ark,2002,22480,7.2
The Legend of Bhagat Singh,2002,17817,8.1
Shattered Glass,2003,39162,7.1
Seabiscuit,2003,78770,7.3
The Good Shepherd,2006,111051,6.7
Miracle,2004,61678,7.5
Downfall,2004,390799,8.2
Che: Part Two,2008,35918,6.8
Machuca,2004,12971,7.7
The Corporation,2003,22098,8.0
Cocaine Cowboys,2006,14421,7.7
Hotel Rwanda,2004,385347,8.1
The New World,2005,92384,6.7
Munich,2005,248083,7.5
Elizabeth: The Golden Age,2007,77060,6.8
9th Company,2005,22197,7.0
The Stanford Prison Experiment,2015,47387,6.8
Shooting Dogs,2005,12213,7.6
Joyeux Noel,2005,33229,7.6
"Good Night, and Good Luck.",2005,103691,7.4
Why We Fight,2005,10393,8.0
Catch a Fire,2006,11210,6.7
Goodbye Bafana,2007,12398,7.1
Lincoln,2012,279848,7.3
Across the Universe,2007,116400,7.3
Jodhaa Akbar,2008,35813,7.5
Amazing Grace,2006,26190,7.4
The Last King of Scotland,2006,201989,7.6
Goya's Ghosts,2006,32607,6.9
Pope Joan,2009,9312,6.7
The Other Boleyn Girl,2008,124347,6.7
United 93,2006,113675,7.6
Killing the Shadows,2006,13947,7.5
Silence,2016,128424,7.2
Winter in Wartime,2008,13864,7.0
Talk to Me,2007,10428,7.3
"Lust, Caution",2007,47213,7.5
The Counterfeiters,2007,48042,7.5
A Mighty Heart,2007,28577,6.6
Battle in Seattle,2007,15407,6.6
Taxi to the Dark Side,2007,17283,7.5
The Duchess,2008,89339,6.9
Frost/Nixon,2008,114754,7.6
Katyn,2007,17914,7.0
Che: Part One,2008,49090,7.1
Suite Française,2014,29780,7.0
Flame & Citron,2008,20553,7.2
The Young Victoria,2009,68340,7.2
The Conspirator,2010,30604,6.9
Valkyrie,2008,268178,7.1
Jesus Revolution,2023,15838,7.1
Milk,2008,183398,7.5
All Quiet on the Western Front,2022,277882,7.8
Enron: The Smartest Guys in the Room,2005,20773,7.6
Selma,2014,97861,7.5
The Way Back,2010,125163,7.3
The Girl with the Needle,2024,15426,7.5
Joy,2024,10096,7.1
Argo,2012,654652,7.7
Sardar Udham,2021,49438,8.3
Defiance,2008,159031,7.1
Invictus,2009,171717,7.3
The Peasants,2023,8286,7.6
The Electrical Life of Louis Wain,2021,22565,6.8
The Trial of the Chicago 7,2020,201061,7.7
Maidaan,2024,22922,7.9
Foxcatcher,2014,152956,7.0
Admiral,2008,8885,6.6
She Said,2022,47489,7.3
City of Life and Death,2009,12144,7.7
Intoxicated by Love,2024,13858,8.5
Pawankhind,2022,8178,8.4
The Bang Bang Club,2010,11788,6.9
Polytechnique,2009,20462,7.2
First Man,2018,211190,7.3
Capitalism: A Love Story,2009,44338,7.4
Emily,2022,9455,6.8
The Three Musketeers - Part I: D'Artagnan,2023,24899,6.7
Tetris,2023,98851,7.4
A Royal Affair,2012,52962,7.5
Cars of the Revolution,2008,13094,7.9
One Life,2023,35502,7.5
Mission Majnu,2023,45212,6.9
Made in Dagenham,2010,16425,7.1
Gandhi Godse Ek Yudh,2023,8537,6.6
The Round Up,2010,9695,7.1
Aftershock,2010,10075,7.5
Straight Outta Compton,2015,228404,7.8
Bodyguards and Assassins,2009,8763,6.8
The Flowers of War,2011,57328,7.5
Pearl Jam Twenty,2011,8356,8.2
Beneath Hill 60,2010,9063,7.0
Even the Rain,2010,15246,7.4
Testament of Youth,2014,31353,7.2
Methagu,2021,8883,8.5
I'm Still Here,2024,114794,8.2
The King's Speech,2010,723229,8.0
Oppenheimer,2023,910087,8.3
Restrepo,2010,24878,7.4
Yahsi Bati - The Ottoman Cowboys,2009,40031,7.4
The Last Kingdom: Seven Kings Must Die,2023,40840,6.9
