primaryTitle,startYear,numVotes,averageRating
The Cabinet of Dr. Caligari,1920,73858,8.0
The Phantom Carriage,1921,15137,8.0
Häxan,1922,18186,7.6
Nosferatu: A Symphony of Horror,1922,119617,7.8
The Phantom of the Opera,1925,21320,7.5
Faust,1926,17632,8.1
Dracula,1931,62429,7.3
Frankenstein,1931,84056,7.8
Dr. Jekyll and Mr. Hyde,1931,16927,7.6
Freaks,1932,53023,7.8
The Most Dangerous Game,1932,14853,7.1
The Mummy,1932,32051,7.0
Vampyr,1932,21873,7.4
The Invisible Man,1933,42328,7.6
Island of Lost Souls,1932,11790,7.3
King Kong,1933,94031,7.9
The Black Cat,1934,13813,6.9
Bride of Frankenstein,1935,56125,7.8
Son of Frankenstein,1939,12583,7.1
Dr. Jekyll and Mr. Hyde,1941,10363,6.8
The Wolf Man,1941,33081,7.2
Cat People,1942,27575,7.2
Le Corbeau,1943,11547,7.8
I Walked with a Zombie,1943,14808,7.0
The Uninvited,1944,13148,7.2
The Body Snatcher,1945,10892,7.3
Dead of Night,1945,15166,7.5
The Picture of Dorian Gray,1945,15330,7.5
The Spiral Staircase,1946,11962,7.3
The Thing from Another World,1951,35493,7.0
House of Wax,1953,21444,7.0
Creature from the Black Lagoon,1954,36679,6.9
Diabolique,1955,71772,8.1
Godzilla,1954,43450,7.6
Them!,1954,25723,7.2
The Bad Seed,1956,16777,7.4
Invasion of the Body Snatchers,1956,57797,7.7
The Curse of Frankenstein,1957,13610,7.0
The Incredible Shrinking Man,1957,21155,7.6
Curse of the Demon,1957,16566,7.4
Horror of Dracula,1958,29823,7.2
The Fly,1958,26977,7.1
House on Haunted Hill,1959,32866,6.7
The Hound of the Baskervilles,1959,13554,6.9
The Mummy,1959,11951,6.6
The Tingler,1959,10149,6.6
Eyes Without a Face,1960,37469,7.6
House of Usher,1960,16574,6.9
Black Sunday,1960,19143,7.1
Peeping Tom,1960,42246,7.6
Psycho,1960,757591,8.5
Village of the Damned,1960,20335,7.3
The Innocents,1961,34852,7.7
The Pit and the Pendulum,1961,17602,7.0
Carnival of Souls,1962,29921,7.0
What Ever Happened to Baby Jane?,1962,65359,8.0
The Birds,1963,214180,7.6
The Haunting,1963,44396,7.4
Black Sabbath,1963,15007,7.0
Kwaidan,1964,21661,7.9
The Masque of the Red Death,1964,17417,6.9
Onibaba,1964,24221,7.9
Blood and Black Lace,1964,14334,7.1
The Last Man on Earth,1964,22927,6.7
Dracula: Prince of Darkness,1966,11497,6.6
Repulsion,1965,59938,7.6
The Fearless Vampire Killers,1967,35213,7.0
Quatermass and the Pit,1967,12184,7.0
Viy,1967,10801,7.2
The Devil Rides Out,1968,11007,6.9
Witchfinder General,1968,13140,6.7
Night of the Living Dead,1968,146095,7.8
Rosemary's Baby,1968,249745,8.0
Hour of the Wolf,1968,23926,7.5
The Bird with the Crystal Plumage,1970,25977,7.1
The Cat o' Nine Tails,1971,13783,6.6
The Abominable Dr. Phibes,1971,17542,7.0
Don't Torture a Duckling,1972,11828,7.0
Tales from the Crypt,1972,13914,6.8
Don't Look Now,1973,66607,7.1
The Exorcist,1973,481149,8.1
The Legend of Hell House,1973,14814,6.6
Sisters,1972,22452,6.9
Theater of Blood,1973,13026,7.1
The Wicker Man,1973,100716,7.5
Black Christmas,1974,53110,7.1
The Texas Chain Saw Massacre,1974,200137,7.4
Jaws,1975,704039,8.1
Deep Red,1975,45586,7.5
The Rocky Horror Picture Show,1975,175946,7.4
The Stepford Wives,1975,20831,6.9
Carrie,1976,219483,7.4
Eraserhead,1977,138252,7.3
The Little Girl Who Lives Down the Lane,1976,19101,7.0
The Omen,1976,141881,7.5
House,1977,37150,7.2
Suspiria,1977,112431,7.3
Dawn of the Dead,1978,133463,7.8
Halloween,1978,325320,7.7
Invasion of the Body Snatchers,1978,76790,7.4
Magic,1978,14665,6.8
Martin,1977,13524,7.0
Alien,1979,1023182,8.5
The Brood,1979,36635,6.8
Nosferatu the Vampyre,1979,47415,7.4
Phantasm,1979,43327,6.6
Zombie,1979,32280,6.8
Altered States,1980,40552,6.9
The Changeling,1980,42760,7.1
The Fog,1980,88337,6.8
Scanners,1981,65358,6.7
The Shining,1980,1174904,8.4
An American Werewolf in London,1981,129315,7.5
The Beyond,1981,26817,6.6
The Entity,1982,19606,6.7
Possession,1981,51251,7.3
Creepshow,1982,55738,6.8
The Evil Dead,1981,243922,7.4
Poltergeist,1982,188937,7.3
Tenebrae,1982,29629,7.0
The Thing,1982,502857,8.2
White Dog,1982,11314,7.0
Christine,1983,98021,6.8
The Hunger,1983,30635,6.6
Psycho II,1983,33491,6.6
Videodrome,1983,109386,7.2
The Company of Wolves,1984,19965,6.6
Gremlins,1984,263288,7.3
A Nightmare on Elm Street,1984,279586,7.4
Phenomena,1985,31930,6.7
Day of the Dead,1985,77626,7.1
Demons,1985,28524,6.6
Fright Night,1985,84766,7.0
Re-Animator,1985,75471,7.1
The Return of the Living Dead,1985,74030,7.3
Aliens,1986,813511,8.4
The Fly,1986,215931,7.6
From Beyond,1986,33427,6.6
Little Shop of Horrors,1986,91364,7.1
Night of the Creeps,1986,27751,6.7
Angel Heart,1987,100443,7.2
StageFright,1987,10168,6.6
Evil Dead II,1987,190479,7.7
Hellraiser,1987,148851,6.9
The Hidden,1987,24536,7.0
The Lost Boys,1987,170872,7.2
Near Dark,1987,47807,6.9
A Nightmare on Elm Street 3: Dream Warriors,1987,95872,6.7
Opera,1987,20969,6.9
Predator,1987,480890,7.8
Prince of Darkness,1987,53368,6.7
A Chinese Ghost Story,1987,11832,7.3
The Stepfather,1987,19948,6.7
The Witches of Eastwick,1987,81545,6.6
Amsterdamned,1988,10221,6.6
The Blob,1988,47201,6.7
Child's Play,1988,125975,6.7
Dead Ringers,1988,56888,7.2
Elvira: Mistress of the Dark,1988,22847,6.6
Tetsuo: The Iron Man,1989,27889,6.9
They Live,1988,156041,7.2
Dead Calm,1989,46304,6.8
Santa Sangre,1989,24824,7.5
Flatliners,1990,96656,6.6
Jacob's Ladder,1990,124305,7.4
Night of the Living Dead,1990,47536,6.8
The Reflecting Skin,1990,10057,6.7
Tremors,1990,159797,7.2
The Silence of the Lambs,1991,1648302,8.6
Dead Alive,1992,107337,7.5
Dracula,1992,257461,7.4
Candyman,1992,105962,6.7
Cronos,1992,34818,6.7
Death Becomes Her,1992,143133,6.7
Twin Peaks: Fire Walk with Me,1992,113781,7.3
Army of Darkness,1992,203144,7.4
Fear City: A Family-Style Comedy,1994,11083,7.5
Cemetery Man,1994,25228,7.0
Interview with the Vampire,1994,364962,7.5
In the Mouth of Madness,1994,84476,7.1
Memories,1995,23381,7.5
Tales from the Crypt: Demon Knight,1995,27469,6.7
Tales from the Hood,1995,10406,6.6
Cannibal! The Musical,1993,13568,6.9
From Dusk Till Dawn,1996,358143,7.2
Scream,1996,420823,7.4
Thesis,1996,44780,7.4
Event Horizon,1997,207164,6.6
Blade,1998,319458,7.1
From Hell,2001,168876,6.7
Resident Evil,2002,301065,6.6
eXistenZ,1999,110925,6.8
Cube,1997,256327,7.1
Cure,1997,31624,7.5
Ravenous,1999,45241,6.9
The Faculty,1998,142636,6.6
Pitch Black,2000,259922,7.0
Pi,1998,190043,7.3
American Psycho,2000,788348,7.6
What Lies Beneath,2000,141215,6.6
Sleepy Hollow,1999,401245,7.3
Stir of Echoes,1999,91120,6.9
Angst,1983,15202,7.2
The Ring,1998,82457,7.2
Blade II,2002,246178,6.7
Shadow of the Vampire,2000,46842,6.9
Final Destination,2000,316494,6.7
Ginger Snaps,2000,55586,6.8
Manichithrathazhu,1993,13686,8.7
The Gift,2000,78519,6.7
The Others,2001,412623,7.6
Audition,1999,95440,7.1
The Devil's Backbone,2001,73419,7.4
Blood: The Last Vampire,2000,13801,6.6
Dog Soldiers,2002,69091,6.8
Bubba Ho-Tep,2002,53113,6.9
28 Days Later,2002,502984,7.5
The Ring,2002,391485,7.1
May,2002,42822,6.6
The Happiness of the Katakuris,2001,10410,6.9
Dark Water,2002,36434,6.7
The Eye,2002,30637,6.6
High Tension,2003,80942,6.7
Constantine,2005,395797,7.0
Dawn of the Dead,2004,282564,7.2
Ju-on: The Grudge,2002,50645,6.7
A Tale of Two Sisters,2003,71796,7.1
Shaun of the Dead,2004,622700,7.9
Saw,2004,492990,7.6
30 Days of Night,2007,196323,6.6
The Devil's Rejects,2005,109018,6.7
The Exorcism of Emily Rose,2005,145593,6.7
Sweeney Todd: The Demon Barber of Fleet Street,2007,399000,7.3
Taxidermia,2006,19216,6.8
Three... Extremes,2004,21442,6.9
Survive Style 5+,2004,10349,7.4
Saw II,2005,289294,6.6
The Descent,2005,262106,7.2
Behind the Mask: The Rise of Leslie Vernon,2006,26485,6.7
Shutter,2004,51770,7.0
1408,2007,306095,6.8
Fido,2006,30734,6.7
Grindhouse,2007,194565,7.5
28 Weeks Later,2007,332200,6.9
The Orphanage,2007,167860,7.4
The Host,2006,139287,7.1
Dumplings,2004,10869,6.7
I Am Legend,2007,854049,7.2
Timecrimes,2007,72424,7.1
Thirst,2009,53348,7.1
World War Z,2013,758114,7.0
Inside,2007,47026,6.7
Trick 'r Treat,2007,110219,6.7
The Mist,2007,360911,7.1
Noroi,2005,17530,6.8
Bhool Bhulaiyaa,2007,36461,7.5
Bhoot Police,2021,27773,6.6
Bones and All,2022,67603,6.8
Eden Lake,2008,103421,6.7
Martyrs,2008,114788,7.0
Suspiria,2018,100585,6.7
REC,2007,208659,7.4
The Blue Elephant 2,2019,11622,8.0
The Invisible Man,2020,273143,7.1
The Call,2020,49283,7.1
28 Years Later,2025,63133,7.1
Cloverfield,2008,435431,7.0
Talk to Me,2022,189915,7.1
Planet Terror,2007,229403,7.0
Nope,2022,302110,6.8
Drag Me to Hell,2009,225196,6.6
Let the Right One In,2008,234386,7.8
Orphan,2009,268823,7.0
Zombieland,2009,648681,7.5
10 Cloverfield Lane,2016,373645,7.2
Prey,2022,253467,7.1
Pandorum,2009,164629,6.7
Let Me In,2010,130831,7.1
Bulbbul,2020,15789,6.6
The Cabin in the Woods,2011,475145,7.0
The Trip,2021,29335,6.9
The Loved Ones,2009,46083,6.6
Fresh,2022,86919,6.7
What You Wish For,2023,10091,6.7
The Gorge,2025,132960,6.7
It,2017,649217,7.3
Rare Exports,2010,33974,6.6
Bhediya,2022,27950,6.7
The Pale Blue Eye,2022,134341,6.6
Speak No Evil,2022,59026,6.6
The Conjuring,2013,588745,7.5
Tucker and Dale vs Evil,2010,202794,7.5
Late Night with the Devil,2023,129975,7.0
Mad God,2021,18414,6.8
Julia's Eyes,2010,38549,6.7
Zombieland: Double Tap,2019,217136,6.7
Chup,2022,26622,7.5
Barbarian,2022,226480,7.0
Warm Bodies,2013,250894,6.8
Insidious,2010,355191,6.8
When Evil Lurks,2023,53168,6.9
Cold Fish,2010,15427,7.1
Bedevilled,2010,18521,7.2
The Animal Kingdom,2023,10844,6.7
The Substance,2024,323175,7.2
Odd Thomas,2013,60154,6.8
Stonehearst Asylum,2014,63002,6.8
Alien: Romulus,2024,255844,7.1
You're Next,2011,115851,6.6
Sick of Myself,2022,20720,7.1
Pearl,2022,144252,7.0
The Call,2013,132705,6.7
Sinister,2012,301645,6.8
Beetlejuice Beetlejuice,2024,156045,6.6
Saw X,2023,91150,6.6
The Coffee Table,2022,10566,6.7
Red Rooms,2023,16500,7.1
Insidious: Chapter 2,2013,197008,6.6
Strange Darling,2023,56631,7.0
Big Bad Wolves,2013,18023,6.8
The Babadook,2014,262417,6.8
A Girl Walks Home Alone at Night,2014,40369,6.9
Longlegs,2024,195437,6.6
The Invitation,2015,124931,6.6
Bone Tomahawk,2015,132991,7.1
Oddity,2024,47094,6.7
Bird Box,2018,408850,6.6
Bramayugam,2024,14749,7.8
Stree 2: Sarkate Ka Aatank,2024,43308,6.9
Speak No Evil,2024,112450,6.8
Exhuma,2024,24825,6.9
Annihilation,2018,382240,6.8
Heretic,2024,168440,7.0
Dead Snow 2: Red vs. Dead,2014,27878,6.8
Smile 2,2024,116005,6.7
The Ugly Stepsister,2025,15289,7.0
Pindam,2023,10689,6.6
Maa,2025,15730,7.1
The Conjuring 2,2016,321477,7.3
Goodnight Mommy,2014,62599,6.7
Sinners,2025,208094,7.7
Bring Her Back,2025,27413,7.2
It Follows,2014,288806,6.8
The Autopsy of Jane Doe,2016,155311,6.8
Spring,2014,32990,6.7
What We Do in the Shadows,2014,208919,7.6
The Blue Elephant,2014,30631,8.0
Housebound,2014,39043,6.7
The House That Jack Built,2018,100754,6.8
The Innocents,2021,28249,7.0
Green Room,2015,148837,7.0
Don't Breathe,2016,319904,7.1
Shin Godzilla,2016,41295,6.8
The Witch,2015,334822,7.0
Under the Shadow,2016,31428,6.8
Overlord,2018,111782,6.6
Lords of Chaos,2018,21345,6.6
Raw,2016,94050,6.9
Split,2016,596004,7.3
Hush,2016,163695,6.6
Nosferatu,2024,216016,7.2
Get Out,2017,767398,7.8
Mother!,2017,260640,6.6
Super Dark Times,2017,26605,6.6
The Wailing,2016,92117,7.4
Happy Death Day,2017,177726,6.6
Twin Peaks: The Missing Pieces,2014,14432,7.5
Life,2017,269293,6.6
Doctor Sleep,2019,233029,7.3
Train to Busan,2016,288549,7.6
The Killing of a Sacred Deer,2017,205539,7.0
Summer of 84,2018,49500,6.7
Marrowbone,2017,46101,6.7
I See You,2019,71831,6.8
Thelma,2017,38335,6.9
A Quiet Place,2018,633550,7.5
Glass,2019,294819,6.6
Us,2019,371206,6.8
The Black Phone,2021,230166,6.9
Saint Maud,2019,52699,6.6
The Golden Glove,2019,20593,6.7
Hereditary,2018,425306,7.3
Ready or Not,2019,218813,6.8
One Cut of the Dead,2017,33273,7.6
The Lighthouse,2019,285835,7.4
Stree,2018,45718,7.5
Deerskin,2019,12542,6.6
The Platform,2019,309824,7.0
Tumbbad,2018,69334,8.2
The Hunt,2020,145603,6.6
A Quiet Place Part II,2020,307221,7.2
Climax,2018,86241,6.9
Run,2020,106839,6.7
Midsommar,2019,454285,7.1
Final Destination: Bloodlines,2025,87623,6.8
Last Night in Soho,2021,192613,7.0
Fear Street: Part Two - 1978,2021,85595,6.7
Fear Street: Part Three - 1666,2021,71488,6.6
The Menu,2022,462140,7.2
Bloody Hell,2020,11759,6.6
