primaryTitle,startYear,numVotes,averageRating
The Phantom of the Opera,1925,21320,7.5
The Cocoanuts,1929,8555,6.8
Animal Crackers,1930,15746,7.4
The Blue Angel,1930,17119,7.6
Monkey Business,1931,14699,7.4
Horse Feathers,1932,13837,7.5
Duck Soup,1933,64369,7.7
42nd Street,1933,13505,7.3
Gold Diggers of 1933,1933,9564,7.7
The Gay Divorcee,1934,9102,7.3
A Night at the Opera,1935,35769,7.8
Top Hat,1935,21578,7.7
The Great Ziegfeld,1936,9458,6.6
Swing Time,1936,15219,7.4
A Day at the Races,1937,15060,7.5
Shall We Dance,1937,8176,7.4
Holiday Inn,1942,18840,7.3
Going My Way,1944,14330,7.0
Anchors Aweigh,1945,9787,7.0
It Happened on Fifth Avenue,1947,7034,7.6
Easter Parade,1948,11683,7.3
The Red Shoes,1948,41819,8.1
On the Town,1949,19498,7.3
An American in Paris,1951,38347,7.1
Limelight,1952,23293,8.0
Moulin Rouge,1952,7002,7.0
Singin' in the Rain,1952,274301,8.3
The Band Wagon,1953,13248,7.4
Calamity Jane,1953,11649,7.2
Gentlemen Prefer Blondes,1953,45641,7.1
Kiss Me Kate,1953,7094,7.0
Brigadoon,1954,9827,6.8
The Country Girl,1954,7146,7.2
The Glenn Miller Story,1954,10253,7.3
Seven Brides for Seven Brothers,1954,28530,7.3
A Star Is Born,1954,20444,7.5
White Christmas,1954,55271,7.5
Guys and Dolls,1955,20329,7.1
Oklahoma!,1955,15131,7.0
The Burmese Harp,1956,6959,8.0
High Society,1956,18497,6.9
The King and I,1956,28864,7.4
A Face in the Crowd,1957,18505,8.2
Funny Face,1957,34643,7.0
Thirst,1957,7803,8.3
Gigi,1958,25540,6.6
The Music Room,1958,7111,7.8
South Pacific,1958,10604,6.8
Black Orpheus,1959,12973,7.4
Shadows,1958,13183,7.2
Some Like It Hot,1959,296919,8.2
West Side Story,1961,125217,7.6
Cléo from 5 to 7,1962,29847,7.8
The Music Man,1962,20113,7.7
Bye Bye Birdie,1963,9843,6.6
A Hard Day's Night,1964,49908,7.5
My Fair Lady,1964,105493,7.7
The Umbrellas of Cherbourg,1964,33521,7.8
Help!,1965,21878,7.1
A Funny Thing Happened on the Way to the Forum,1966,10312,6.8
Bob Dylan: Dont Look Back,1967,10715,7.9
Thoroughly Modern Millie,1967,7407,6.9
The Young Girls of Rochefort,1967,13096,7.7
Oliver!,1968,43262,7.4
Padosan,1968,7894,8.1
The Producers,1967,63134,7.5
"Hello, Dolly!",1969,17901,7.0
Paint Your Wagon,1969,15630,6.6
Sweet Charity,1969,7317,6.9
Gimme Shelter,1970,13449,7.8
Let It Be,1970,8337,7.6
Donkey Skin,1970,7149,7.0
Woodstock,1970,19095,8.1
Anand,1971,36579,8.1
Fiddler on the Roof,1971,50380,8.0
Cabaret,1972,62639,7.8
Pink Floyd: Live at Pompeii,1972,11014,8.6
The Ruling Class,1972,7091,7.2
The Harder They Come,1972,7341,6.8
Jesus Christ Superstar,1973,31619,7.3
Nashville,1975,30135,7.6
The Rocky Horror Picture Show,1975,175946,7.4
Tommy,1975,23738,6.6
The Song Remains the Same,1976,9483,7.6
"New York, New York",1977,23001,6.6
Saturday Night Fever,1977,91888,6.8
The Buddy Holly Story,1978,10434,7.2
Grease,1978,316665,7.2
Autumn Sonata,1978,40340,8.1
The Last Waltz,1978,21343,8.1
Up in Smoke,1978,42520,6.9
All That Jazz,1979,38303,7.8
Hair,1979,42905,7.5
Quadrophenia,1979,21871,7.2
Rock 'n' Roll High School,1979,11838,6.6
The Rose,1979,9636,6.9
Coal Miner's Daughter,1980,21595,7.5
Fame,1980,25674,6.6
Diva,1981,14845,7.1
History of the World: Part I,1981,57386,6.8
Fitzcarraldo,1982,41089,7.9
Honkytonk Man,1982,9962,6.6
Monty Python Live at the Hollywood Bowl,1982,16162,7.8
Pink Floyd: The Wall,1982,88131,8.0
Victor/Victoria,1982,24853,7.6
Eddie and the Cruisers,1983,8995,6.9
Koyaanisqatsi,1982,43492,8.2
Monty Python's the Meaning of Life,1983,128077,7.5
Tender Mercies,1983,12854,7.3
Yentl,1983,16949,6.6
Amadeus,1984,451460,8.4
The Cotton Club,1984,20576,6.6
The Ship Sails On,1983,7146,7.4
Footloose,1984,98731,6.6
Stop Making Sense,1984,22907,8.7
This Is Spinal Tap,1984,152496,7.9
Top Secret!,1984,78920,7.2
White Nights,1985,8764,6.7
Crossroads,1986,18751,7.1
Little Shop of Horrors,1986,91364,7.1
Sid and Nancy,1986,36116,7.0
True Stories,1986,8076,7.2
Shadows in Paradise,1986,8099,7.4
Dirty Dancing,1987,271188,7.1
La Bamba,1987,38272,7.0
Beaches,1988,30113,7.0
Bird,1988,14046,7.1
Powaqqatsi,1988,9198,7.2
Qayamat Se Qayamat Tak,1988,11662,7.4
Running on Empty,1988,18975,7.6
Bill & Ted's Excellent Adventure,1989,146510,6.9
The Fabulous Baker Boys,1989,26773,6.9
Leningrad Cowboys Go America,1989,9108,7.0
Meet the Feebles,1989,22799,6.6
Maine Pyar Kiya,1989,13661,7.3
Mo' Better Blues,1990,14413,6.7
Pump Up the Volume,1990,32460,7.2
The Commitments,1991,41004,7.6
The Doors,1991,104704,7.2
The Double Life of Véronique,1991,55499,7.6
Saajan,1991,7896,7.2
Khiladi,1992,8762,7.1
Singles,1992,34290,6.7
Strictly Ballroom,1992,30345,7.2
A Heart in Winter,1992,11214,7.6
Wayne's World,1992,178241,7.0
Farewell My Concubine,1993,35444,8.1
Baazigar,1993,31246,7.6
The Scent of Green Papaya,1993,10694,7.3
The Piano,1993,98894,7.5
Robin Hood: Men in Tights,1993,142220,6.7
Swing Kids,1993,17957,6.8
Three Colors: Blue,1993,115743,7.8
What's Love Got to Do with It,1993,26063,7.4
"The Adventures of Priscilla, Queen of the Desert",1994,58709,7.5
Hum Aapke Hain Koun..!,1994,23624,7.5
Immortal Beloved,1994,27062,7.4
Kabhi Haan Kabhi Naa,1994,20052,7.6
Empire Records,1995,66502,6.7
Mr. Holland's Opus,1995,43266,7.3
Rangeela,1995,10879,7.4
Brassed Off,1996,21664,7.2
Cannibal! The Musical,1993,13568,6.9
Everyone Says I Love You,1996,40498,6.7
Indian,1996,15589,8.1
Kolya,1996,16645,7.7
Shall We Dance?,1996,12135,7.7
Shine,1996,58081,7.6
That Thing You Do!,1996,76541,7.0
Dil To Pagal Hai,1997,25719,7.0
Pardes,1997,16765,6.9
Selena,1997,33101,6.9
Yes Boss,1997,14819,6.7
The Last Days of Disco,1998,14921,6.7
The Legend of 1900,1998,71854,8.0
The Red Violin,1998,35228,7.6
Velvet Goldmine,1998,39540,6.9
The Wedding Singer,1998,168981,6.9
The Crazy Stranger,1997,8643,7.6
SLC Punk!,1998,34870,7.4
High Fidelity,2000,195803,7.4
