primaryTitle,startYear,numVotes,averageRating
The Cocoanuts,1929,8555,6.8
Animal Crackers,1930,15746,7.4
Monkey Business,1931,14699,7.4
Horse Feathers,1932,13837,7.5
Duck Soup,1933,64369,7.7
42nd Street,1933,13505,7.3
Gold Diggers of 1933,1933,9564,7.7
The Gay Divorcee,1934,9102,7.3
A Night at the Opera,1935,35769,7.8
Top Hat,1935,21578,7.7
The Great Ziegfeld,1936,9458,6.6
Swing Time,1936,15219,7.4
A Day at the Races,1937,15060,7.5
Shall We Dance,1937,8176,7.4
At the Circus,1939,6632,6.8
Anchors Aweigh,1945,9787,7.0
Easter Parade,1948,11683,7.3
On the Town,1949,19498,7.3
An American in Paris,1951,38347,7.1
Singin' in the Rain,1952,274301,8.3
The Band Wagon,1953,13248,7.4
Calamity Jane,1953,11649,7.2
Gentlemen Prefer Blondes,1953,45641,7.1
Kiss Me Kate,1953,7094,7.0
Brigadoon,1954,9827,6.8
Seven Brides for Seven Brothers,1954,28530,7.3
A Star Is Born,1954,20444,7.5
White Christmas,1954,55271,7.5
Guys and Dolls,1955,20329,7.1
Oklahoma!,1955,15131,7.0
High Society,1956,18497,6.9
The King and I,1956,28864,7.4
Funny Face,1957,34643,7.0
Thirst,1957,7803,8.3
Gigi,1958,25540,6.6
King Creole,1958,6803,7.0
South Pacific,1958,10604,6.8
Black Orpheus,1959,12973,7.4
West Side Story,1961,125217,7.6
The Music Man,1962,20113,7.7
Bye Bye Birdie,1963,9843,6.6
A Hard Day's Night,1964,49908,7.5
My Fair Lady,1964,105493,7.7
The Umbrellas of Cherbourg,1964,33521,7.8
Help!,1965,21878,7.1
A Funny Thing Happened on the Way to the Forum,1966,10312,6.8
Thoroughly Modern Millie,1967,7407,6.9
The Young Girls of Rochefort,1967,13096,7.7
Oliver!,1968,43262,7.4
Padosan,1968,7894,8.1
"Hello, Dolly!",1969,17901,7.0
Paint Your Wagon,1969,15630,6.6
Donkey Skin,1970,7149,7.0
Anand,1971,36579,8.1
Fiddler on the Roof,1971,50380,8.0
Cabaret,1972,62639,7.8
The Ruling Class,1972,7091,7.2
Jesus Christ Superstar,1973,31619,7.3
The Rocky Horror Picture Show,1975,175946,7.4
Tommy,1975,23738,6.6
"New York, New York",1977,23001,6.6
Grease,1978,316665,7.2
All That Jazz,1979,38303,7.8
Hair,1979,42905,7.5
Fame,1980,25674,6.6
History of the World: Part I,1981,57386,6.8
Monty Python Live at the Hollywood Bowl,1982,16162,7.8
Monty Python's the Meaning of Life,1983,128077,7.5
Yentl,1983,16949,6.6
Little Shop of Horrors,1986,91364,7.1
True Stories,1986,8076,7.2
Qayamat Se Qayamat Tak,1988,11662,7.4
Maine Pyar Kiya,1989,13661,7.3
Saajan,1991,7896,7.2
Khiladi,1992,8762,7.1
Baazigar,1993,31246,7.6
Robin Hood: Men in Tights,1993,142220,6.7
Hum Aapke Hain Koun..!,1994,23624,7.5
Rangeela,1995,10879,7.4
Cannibal! The Musical,1993,13568,6.9
Everyone Says I Love You,1996,40498,6.7
Indian,1996,15589,8.1
Dil To Pagal Hai,1997,25719,7.0
Pardes,1997,16765,6.9
Yes Boss,1997,14819,6.7
Straight from the Heart,1999,20579,7.4
Dancer in the Dark,2000,121253,7.9
Lagaan: Once Upon a Time in India,2001,124959,8.1
Kuch Kuch Hota Hai,1998,60029,7.5
Raju Ban Gaya Gentleman,1992,8676,6.7
Moulin Rouge!,2001,308410,7.6
Mohabbatein,2000,35572,7.1
Chachi 420,1997,13947,7.4
Kaho Naa... Pyaar Hai,2000,17435,6.9
Devdas,2002,49526,7.5
Alai Payuthey,2000,8085,8.3
Kabhi Khushi Kabhie Gham...,2001,60171,7.4
Dudes,2001,8421,7.9
8 Women,2002,35450,7.0
The Phantom of the Opera,2004,135228,7.2
Rent,2005,57272,6.8
Rehnaa Hai Terre Dil Mein,2001,9815,7.5
Chicago,2002,251194,7.2
Kal Ho Naa Ho,2003,79031,7.9
Swades,2004,102438,8.2
The Music Man,2007,9733,7.5
Terkel in Trouble,2004,12702,7.1
Sweeney Todd: The Demon Barber of Fleet Street,2007,399000,7.3
Veer-Zaara,2004,60914,7.8
