primaryTitle,startYear,numVotes,averageRating
The Cabinet of Dr. Caligari,1920,73858,8.0
The Lodger: A Story of the London Fog,1927,14418,7.3
Blackmail,1929,12982,6.9
M,1931,178208,8.3
The Testament of Dr. Mabuse,1933,14199,7.9
The Man Who Knew Too Much,1934,22633,6.7
The Thin Man,1934,33998,7.9
The 39 Steps,1935,64330,7.6
After the Thin Man,1936,12703,7.6
Young and Innocent,1937,11638,6.8
The Lady Vanishes,1938,59747,7.7
The Hound of the Baskervilles,1939,12386,7.4
Rebecca,1940,159756,8.1
Citizen Kane,1941,484035,8.3
Suspicion,1941,45149,7.3
The Wolf Man,1941,33081,7.2
Shadow of a Doubt,1943,73460,7.8
Gaslight,1944,36243,7.8
Laura,1944,54057,7.9
The Uninvited,1944,13148,7.2
And Then There Were None,1945,17753,7.4
Spellbound,1945,54818,7.5
Great Expectations,1946,27602,7.8
Notorious,1946,111399,7.9
The Spiral Staircase,1946,11962,7.3
The Fallen Idol,1948,10361,7.6
Rope,1948,161187,7.9
"Sorry, Wrong Number",1948,13456,7.3
Stray Dog,1949,20026,7.8
The Third Man,1949,190776,8.1
In a Lonely Place,1950,37666,7.9
Rashomon,1950,190871,8.2
Stage Fright,1950,17272,7.0
The Barefoot Contessa,1954,13804,6.9
Dial M for Murder,1954,199253,8.2
Rear Window,1954,550965,8.5
Bad Day at Black Rock,1955,25489,7.7
To Catch a Thief,1955,84126,7.4
The Trouble with Harry,1955,42958,7.0
The Man Who Knew Too Much,1956,73662,7.4
Curse of the Demon,1957,16566,7.4
Witness for the Prosecution,1957,151542,8.4
House on Haunted Hill,1959,32866,6.7
Vertigo,1958,447735,8.2
Anatomy of a Murder,1959,75655,8.0
The Hound of the Baskervilles,1959,13554,6.9
North by Northwest,1959,362188,8.3
"Suddenly, Last Summer",1959,18320,7.5
L'Avventura,1960,35586,7.7
Psycho,1960,757591,8.5
Last Year at Marienbad,1961,26221,7.6
The Innocents,1961,34852,7.7
The Pit and the Pendulum,1961,17602,7.0
Carnival of Souls,1962,29921,7.0
Harakiri,1962,81325,8.6
The Birds,1963,214180,7.6
Charade,1963,90336,7.8
The Trial,1962,25882,7.6
Shock Corridor,1963,13648,7.3
High and Low,1963,61765,8.4
"Hush...Hush, Sweet Charlotte",1964,16934,7.5
The Killers,1964,10045,7.0
Marnie,1964,56455,7.1
A Shot in the Dark,1964,32690,7.3
Alphaville,1965,29211,7.0
Bunny Lake Is Missing,1965,10884,7.3
Blow-Up,1966,70895,7.4
Harper,1966,11721,6.8
In the Heat of the Night,1967,88124,7.9
The Bride Wore Black,1968,11017,7.2
Quatermass and the Pit,1967,12184,7.0
The Boston Strangler,1968,11513,7.0
Teorema,1968,16186,7.0
Hour of the Wolf,1968,23926,7.5
The Bird with the Crystal Plumage,1970,25977,7.1
The Cat o' Nine Tails,1971,13783,6.6
The Andromeda Strain,1971,42580,7.2
Klute,1971,32239,7.1
High Plains Drifter,1973,69349,7.4
Don't Torture a Duckling,1972,11828,7.0
Sleuth,1972,51644,7.9
Solaris,1972,102471,7.9
Tales from the Crypt,1972,13914,6.8
Don't Look Now,1973,66607,7.1
Magnum Force,1973,69839,7.2
Sisters,1972,22452,6.9
Soylent Green,1973,73405,7.0
The Wicker Man,1973,100716,7.5
Black Christmas,1974,53110,7.1
Chinatown,1974,367309,8.1
The Conversation,1974,132078,7.7
Murder on the Orient Express,1974,72453,7.2
The Parallax View,1974,23288,7.1
The Return of the Pink Panther,1975,31282,7.0
"Farewell, My Lovely",1975,10397,7.0
Night Moves,1975,19997,7.1
Picnic at Hanging Rock,1975,43835,7.4
Deep Red,1975,45586,7.5
The Stepford Wives,1975,20831,6.9
Three Days of the Condor,1975,66362,7.4
Carrie,1976,219483,7.4
The Little Girl Who Lives Down the Lane,1976,19101,7.0
Mr. Klein,1976,10133,7.5
Murder by Death,1976,44099,7.2
Obsession,1976,12793,6.7
The Omen,1976,141881,7.5
3 Women,1977,18875,7.7
The American Friend,1977,20189,7.4
High Anxiety,1977,24808,6.6
The Last Wave,1977,11915,6.9
The Boys from Brazil,1978,32567,7.0
Coma,1978,22187,6.9
Death on the Nile,1978,42625,7.3
Foul Play,1978,18211,6.8
Revenge of the Pink Panther,1978,24362,6.6
Apocalypse Now,1979,746878,8.4
Bad Timing: A Sensual Obsession,1980,10087,6.9
The Changeling,1980,42760,7.1
Dressed to Kill,1980,53230,7.1
The Long Good Friday,1980,28103,7.5
Blow Out,1981,70474,7.4
Road Games,1981,10257,6.6
Dead Men Don't Wear Plaid,1982,24958,6.8
The Draughtsman's Contract,1982,11686,7.2
Evil Under the Sun,1982,22615,7.0
Tenebrae,1982,29629,7.0
The Thing,1982,502857,8.2
Gorky Park,1983,17478,6.7
Psycho II,1983,33491,6.6
Something Wicked This Way Comes,1983,11377,6.7
2010: The Year We Make Contact,1984,59718,6.7
Body Double,1984,42885,6.8
Phenomena,1985,31930,6.7
A Soldier's Story,1984,12068,7.2
Clue,1985,117505,7.3
Fletch,1985,59847,6.9
The Quiet Earth,1985,28709,6.7
Young Sherlock Holmes,1985,24336,6.8
Blue Velvet,1986,233831,7.7
Crossroads,1986,18751,7.1
The Hitcher,1986,56633,7.2
Manhunter,1986,87760,7.2
The Name of the Rose,1986,123379,7.7
Angel Heart,1987,100443,7.2
Opera,1987,20969,6.9
Suspect,1987,12486,6.6
Frantic,1988,60076,6.8
Mississippi Burning,1988,122501,7.8
The Vanishing,1988,51034,7.7
Without a Clue,1988,11620,6.9
The 'Burbs,1989,87661,6.8
The Abyss,1989,202820,7.5
Sea of Love,1989,47229,6.8
Jacob's Ladder,1990,124305,7.4
Presumed Innocent,1990,50477,6.9
Reversal of Fortune,1990,20534,7.2
Backdraft,1991,91372,6.7
Dead Again,1991,31279,6.8
Kafka,1991,10949,6.8
Naked Lunch,1991,59328,6.9
Basic Instinct,1992,234063,7.1
Glengarry Glen Ross,1992,122991,7.7
Thunderheart,1992,18530,6.8
Twin Peaks: Fire Walk with Me,1992,113781,7.3
The Firm,1993,155691,6.9
Manhattan Murder Mystery,1993,48356,7.3
The Pelican Brief,1993,100828,6.6
Six Degrees of Separation,1993,23718,6.8
Three Colors: Blue,1993,115743,7.8
The Client,1994,77464,6.7
Death and the Maiden,1994,28153,7.2
Dolores Claiborne,1995,51151,7.4
The Monster,1994,11970,7.3
Star Trek: Generations,1994,89542,6.6
Three Colors: Red,1994,114313,8.1
Clockers,1995,24286,6.9
Copycat,1995,76287,6.6
Devil in a Blue Dress,1995,26435,6.8
Powder,1995,33931,6.6
Se7en,1995,1927069,8.6
12 Monkeys,1995,666459,8.0
The Usual Suspects,1995,1196523,8.5
The Apartment,1996,16590,7.3
Courage Under Fire,1996,62061,6.6
Lone Star,1996,34458,7.4
Lost Highway,1997,164291,7.6
Primal Fear,1996,265083,7.7
Scream,1996,420823,7.4
Thesis,1996,44780,7.4
Affliction,1997,20805,6.9
Conspiracy Theory,1997,111313,6.7
Contact,1997,304793,7.5
Dark City,1998,220752,7.6
The Devil's Advocate,1997,426816,7.5
The Game,1997,455608,7.7
Insomnia,1997,16523,7.2
Character,1997,11727,7.7
Kiss the Girls,1997,96118,6.6
L.A. Confidential,1997,644523,8.2
Midnight in the Garden of Good and Evil,1997,42827,6.6
The Spanish Prisoner,1997,26921,7.1
Eyes Wide Shut,1999,403143,7.5
From Hell,2001,168876,6.7
The Red Violin,1998,35228,7.6
Snow Falling on Cedars,1999,14840,6.7
Wild Things,1998,137171,6.6
The X Files,1998,112833,7.0
eXistenZ,1999,110925,6.8
Cube,1997,256327,7.1
Cure,1997,31624,7.5
Open Your Eyes,1997,75561,7.7
Lovers of the Arctic Circle,1998,20599,7.6
The Faculty,1998,142636,6.6
8MM,1999,148234,6.6
Pi,1998,190043,7.3
True Crime,1999,40085,6.6
The Thirteenth Floor,1999,80489,7.0
The Ninth Gate,1999,205410,6.7
The Bone Collector,1999,194815,6.7
Following,1998,106608,7.4
What Lies Beneath,2000,141215,6.6
Sleepy Hollow,1999,401245,7.3
Stir of Echoes,1999,91120,6.9
The Limey,1999,36611,6.9
Mulholland Drive,2001,410237,7.9
The Sixth Sense,1999,1106085,8.2
The End of the Affair,1999,24904,7.0
The Ring,1998,82457,7.2
Minority Report,2002,605768,7.6
Frequency,2000,120396,7.4
The Princess and the Warrior,2000,15135,7.4
Joy Ride,2001,79597,6.6
Memento,2000,1387511,8.4
Manichithrathazhu,1993,13686,8.7
With a Friend Like Harry...,2000,12246,7.1
Unbreakable,2000,458304,7.3
The Crimson Rivers,2000,68080,6.9
The Others,2001,412623,7.6
Audition,1999,95440,7.1
The Salton Sea,2002,32895,7.0
The Pledge,2001,73817,6.7
Under the Sand,2000,11795,7.0
Donnie Darko,2001,886822,8.0
Super Troopers,2001,116538,7.0
Werckmeister Harmonies,2000,17046,7.9
Hearts in Atlantis,2001,42416,6.9
Common Wealth,2000,13354,7.2
The Curse of the Jade Scorpion,2001,43463,6.7
The Bourne Identity,2002,597425,7.8
Lantana,2001,20614,7.2
Vanilla Sky,2001,297712,6.9
Ripley's Game,2002,20212,6.6
A Beautiful Mind,2001,1026908,8.2
K-PAX,2001,198265,7.4
Narc,2002,44522,7.1
Insomnia,2002,331578,7.2
Spider,2002,42556,6.7
Gosford Park,2001,98878,7.2
Cypher,2002,32630,6.7
Signs,2002,402803,6.8
Talk to Her,2002,120245,7.9
The Life of David Gale,2003,129905,7.5
Irreversible,2002,156790,7.3
The Son,2002,10385,7.5
The Ring,2002,391485,7.1
Dark Water,2002,36434,6.7
Identity,2003,281940,7.3
Slim Susie,2003,10798,6.9
Swimming Pool,2003,50310,6.7
Wicker Park,2004,60088,6.9
The Eye,2002,30637,6.6
I'm Not Scared,2003,17296,7.4
Mystic River,2003,506620,7.9
Infernal Affairs,2002,135380,8.0
"I, Robot",2004,599476,7.1
A Very Long Engagement,2004,77084,7.6
Ghost in the Shell 2: Innocence,2004,41776,7.4
Memories of Murder,2003,245591,8.1
Tell No One,2006,59861,7.5
Oldboy,2003,685395,8.3
A Tale of Two Sisters,2003,71796,7.1
The Jacket,2005,122449,7.1
The Manchurian Candidate,2004,120915,6.6
The Village,2004,289724,6.6
National Treasure,2004,368783,6.9
Stay,2005,90383,6.7
The Bourne Supremacy,2004,501955,7.7
Kiss Kiss Bang Bang,2005,244928,7.5
Proof,2005,47092,6.7
The Da Vinci Code,2006,474800,6.6
Motherless Brooklyn,2019,65077,6.8
The Constant Gardener,2005,153132,7.3
Saw,2004,492990,7.6
Caché,2005,88328,7.3
Brick,2005,112524,7.1
The Lives of Others,2006,430109,8.4
Watchmen,2009,600384,7.6
Broken Flowers,2005,108943,7.1
The Fountain,2006,254106,7.1
Hot Fuzz,2007,554392,7.8
Saw II,2005,289294,6.6
Shutter,2004,51770,7.0
The Bourne Ultimatum,2007,673248,8.0
The Illusionist,2006,398426,7.5
Zodiac,2007,641026,7.7
Ghajini,2005,16417,7.6
1408,2007,306095,6.8
Gone Baby Gone,2007,302996,7.6
Inside Man,2006,415372,7.6
Inland Empire,2006,66635,6.8
The Orphanage,2007,167860,7.4
Michael Clayton,2007,179863,7.2
Hallam Foe,2007,13384,6.9
Red Road,2006,14065,6.8
State of Play,2009,164357,7.1
Extremely Loud & Incredibly Close,2011,106810,6.9
In the Valley of Elah,2007,76577,7.1
Timecrimes,2007,72424,7.1
The Prestige,2006,1525891,8.5
Disturbia,2007,266806,6.8
The Unknown Woman,2006,16505,7.4
Time,2006,13110,7.1
The Man from Earth,2007,210882,7.8
Mr. Brooks,2007,161113,7.2
Atonement,2007,316696,7.8
Transsiberian,2008,55814,6.6
Bhagam Bhag,2006,16560,6.7
Angels & Demons,2009,319447,6.7
Seven Pounds,2008,321651,7.6
Paranoid Park,2007,32490,6.6
Fireworks Wednesday,2006,14245,7.6
Doubt,2008,142560,7.5
Loft,2008,25625,7.2
Noroi,2005,17530,6.8
Source Code,2011,569933,7.5
The Reader,2008,269567,7.6
Sherlock Holmes,2009,692817,7.5
Bhool Bhulaiyaa,2007,36461,7.5
The Tragedy of Macbeth,2021,42486,7.1
Fermat's Room,2007,23487,6.6
Atlantics,2019,10971,6.7
Agent Sai Srinivasa Athreya,2019,18842,8.3
The Father,2020,216284,8.2
Article 15,2019,39164,8.1
Black Box,2021,18184,7.2
REC,2007,208659,7.4
The Invisible Man,2020,273143,7.1
The Call,2020,49283,7.1
Eagle Eye,2008,199011,6.6
The Burning Plain,2008,21798,6.7
Stillwater,2021,61996,6.6
Anjaam Pathiraa,2020,10654,7.9
Nothing But the Truth,2008,40972,7.1
Missing,2023,68651,7.1
Tell Me Who I Am,2019,18614,7.6
Bad Lieutenant: Port of Call New Orleans,2009,83268,6.6
Nope,2022,302110,6.8
Pig,2021,100317,6.9
Haseen Dillruba,2021,33583,6.9
The Unforgivable,2021,124368,7.1
Shutter Island,2010,1562748,8.2
The Girl with the Dragon Tattoo,2009,227383,7.8
The Ghost Writer,2010,174610,7.2
Orphan,2009,268823,7.0
The White Ribbon,2009,80049,7.8
Undine,2020,10074,6.6
Ghajini,2008,69836,7.4
Moon,2009,387514,7.8
Cracks,2009,21700,6.6
Triangle,2009,141617,6.9
Pandorum,2009,164629,6.7
The Skin I Live In,2011,175078,7.6
The Lincoln Lawyer,2011,263342,7.3
Get Low,2009,24366,7.0
Vengeance,2022,40445,6.8
Vikrant Rona,2022,29272,6.9
Mother,2009,77221,7.7
Jane Eyre,2011,95934,7.3
Ondine,2009,23244,6.8
Drishyam 2,2021,43344,8.4
Bulbbul,2020,15789,6.6
We Need to Talk About Kevin,2011,175592,7.4
Decision to Leave,2022,62838,7.3
Incendies,2010,231640,8.3
Raat Akeli Hai,2020,20637,7.2
Exam,2009,131625,6.7
The Cabin in the Woods,2011,475145,7.0
The Vanishing of Sidney Hall,2017,12174,6.8
The Secret in Their Eyes,2009,234463,8.2
Hit: The First Case,2022,17489,6.8
God's Crooked Lines,2022,26966,7.1
Reptile,2023,104173,6.8
Tinker Tailor Soldier Spy,2011,221006,7.0
The Girl Who Kicked the Hornet's Nest,2009,76253,7.3
About Elly,2009,59484,7.9
Cloud Atlas,2012,382081,7.4
Karthik Calling Karthik,2010,14958,7.1
The Adjustment Bureau,2011,277979,7.0
Anweshippin Kandethum,2024,10637,7.4
Prisoners,2013,881542,8.2
Winter's Bone,2010,155003,7.1
Unknown,2011,273778,6.8
The Outfit,2022,82054,7.2
The Pale Blue Eye,2022,134341,6.6
Speak No Evil,2022,59026,6.6
Disconnect,2012,79344,7.5
Martha Marcy May Marlene,2011,57335,6.8
Prometheus,2012,679715,7.0
The Conjuring,2013,588745,7.5
It's What's Inside,2024,44551,6.6
Buried,2010,173569,7.0
Turnabout,2016,17893,7.1
Julia's Eyes,2010,38549,6.7
Freddy,2022,35437,7.3
Sherlock Holmes: A Game of Shadows,2011,494161,7.4
Emily the Criminal,2022,64444,6.7
Trust,2010,45519,6.9
Merry Christmas,2024,29993,6.9
Another Earth,2011,102737,6.9
Drishyam 2,2022,49364,8.2
Caddo Lake,2024,46111,6.8
Chup,2022,26622,7.5
The Girl with the Dragon Tattoo,2011,516223,7.8
Jaane Jaan,2023,15904,7.0
Barbarian,2022,226480,7.0
Puncture,2011,25340,6.8
Catfish,2010,44165,7.1
Insidious,2010,355191,6.8
Kishkindha Kaandam,2024,12837,8.0
The Drop,2014,166997,7.0
Night Train to Lisbon,2013,21435,6.8
Hunting Season,2010,38243,7.4
Now You See Me,2013,743770,7.2
The Night of the 12th,2022,11836,7.0
The Hidden Face,2011,48306,7.3
Stonehearst Asylum,2014,63002,6.8
Talaash: The Answer Lies Within,2012,47260,7.3
The Maze Runner,2014,539977,6.8
Kahaani,2012,68218,8.1
The Words,2012,83417,7.0
You're Next,2011,115851,6.6
Blade Runner 2049,2017,720078,8.0
The Judge,2014,214539,7.4
Sinister,2012,301645,6.8
The Best Offer,2013,133876,7.8
Trance,2013,119765,6.9
The Body,2012,76582,7.6
Borgman,2013,19561,6.7
Love Lies Bleeding,2024,59044,6.6
In the House,2012,35375,7.3
Non-Stop,2014,282895,6.9
Side Effects,2013,201912,7.1
Shanghai,2012,10779,7.2
The Artifice Girl,2022,12095,6.6
Girl in the Picture,2022,23924,7.3
Saw X,2023,91150,6.6
Red Rooms,2023,16500,7.1
Insidious: Chapter 2,2013,197008,6.6
Calvary,2014,66587,7.4
Gone Girl,2014,1128563,8.1
Enemy,2013,228616,6.9
The Babadook,2014,262417,6.8
Longlegs,2024,195437,6.6
The Invitation,2015,124931,6.6
The Past,2013,51913,7.7
Frequencies,2013,15025,6.7
Tom at the Farm,2013,19774,6.9
Department Q: The Keeper of Lost Causes,2013,35106,7.2
Confession of Murder,2012,12491,7.0
Arrival,2016,824715,7.9
Arrambam,2013,10837,7.0
Midnight Special,2016,85728,6.6
Mars Express,2023,12490,7.5
Mr. Monk's Last Case: A Monk Movie,2023,12052,6.7
Bird Box,2018,408850,6.6
Juror #2,2024,106389,7.0
Veronica Mars,2014,55818,6.7
Exhuma,2024,24825,6.9
Surongo,2023,30358,6.8
Coherence,2013,161927,7.2
Ugly,2013,24502,7.9
I Origins,2014,137837,7.3
Smile 2,2024,116005,6.7
Steins;Gate: The Movie - Load Region of Déjà Vu,2013,10602,7.8
The Guest,2014,111921,6.7
Faults,2014,11254,6.7
Who Am I,2014,65233,7.4
The Conjuring 2,2016,321477,7.3
Goodnight Mommy,2014,62599,6.7
The Treatment,2014,10518,7.1
Black Bag,2025,56657,6.7
Department Q: The Absent One,2014,27899,7.1
A Small September Affair,2014,11485,7.1
Bring Her Back,2025,27413,7.2
Rekhachithram,2025,14080,7.9
It Follows,2014,288806,6.8
Sookshma Darshini,2024,11296,7.8
Marshland,2014,37777,7.2
Loving Vincent,2017,66565,7.8
