primaryTitle,startYear,numVotes,averageRating
Broken Blossoms,1919,11519,7.2
Our Hospitality,1923,13142,7.7
Safety Last!,1923,24122,8.1
Sherlock Jr.,1924,62879,8.2
Seven Chances,1925,12520,7.8
Sunrise,1927,55628,8.1
The Unknown,1927,9889,7.7
Wings,1927,15564,7.5
Pandora's Box,1929,12547,7.7
The Circus,1928,37589,8.1
The Crowd,1928,9728,8.0
The Cocoanuts,1929,8555,6.8
The Blue Angel,1930,17119,7.6
City Lights,1931,208388,8.5
Grand Hotel,1932,21766,7.3
Tarzan the Ape Man,1932,8624,6.9
Trouble in Paradise,1932,16948,7.9
Baby Face,1933,8750,7.5
L'Atalante,1934,18227,7.7
The Black Cat,1934,13813,6.9
The Gay Divorcee,1934,9102,7.3
It Happened One Night,1934,117258,8.1
Of Human Bondage,1934,8841,7.0
Top Hat,1935,21578,7.7
Dodsworth,1936,10735,7.7
Libeled Lady,1936,9402,7.8
Modern Times,1936,275014,8.5
Mr. Deeds Goes to Town,1936,24311,7.8
My Man Godfrey,1936,27731,7.9
Swing Time,1936,15219,7.4
The Awful Truth,1937,22557,7.7
Camille,1936,9182,7.3
Make Way for Tomorrow,1937,10254,8.1
My Favorite Wife,1940,12175,7.2
Pépé le Moko,1937,8427,7.7
Stage Door,1937,9493,7.7
A Star Is Born,1937,11532,7.3
Topper,1937,8823,7.2
The Adventures of Robin Hood,1938,56527,7.9
Holiday,1938,19469,7.7
Jezebel,1938,15850,7.4
Pygmalion,1938,10144,7.7
Port of Shadows,1938,10480,7.7
You Can't Take It with You,1938,29470,7.8
Dark Victory,1939,13064,7.4
Gone with the Wind,1939,348375,8.2
"Goodbye, Mr. Chips",1939,12049,7.9
The Hunchback of Notre Dame,1939,12888,7.8
Daybreak,1939,8666,7.7
Ninotchka,1939,24075,7.8
Only Angels Have Wings,1939,16625,7.6
Wuthering Heights,1939,20824,7.5
Foreign Correspondent,1940,25189,7.4
His Girl Friday,1940,66011,7.8
The Philadelphia Story,1940,76658,7.8
Pride and Prejudice,1940,9693,7.4
Rebecca,1940,159756,8.1
The Shop Around the Corner,1940,41865,8.0
Waterloo Bridge,1940,11459,7.7
Ball of Fire,1941,15158,7.7
The Lady Eve,1941,24699,7.7
The Little Foxes,1941,13749,7.9
The Man Who Came to Dinner,1941,9432,7.5
Meet John Doe,1941,15839,7.6
Penny Serenade,1941,8533,7.1
The Wolf Man,1941,33081,7.2
Casablanca,1942,635872,8.5
I Married a Witch,1942,10326,7.1
The Magnificent Ambersons,1942,28002,7.6
Mrs. Miniver,1942,20524,7.6
"Now, Voyager",1942,20098,7.8
Obsession,1943,8767,7.6
The Palm Beach Story,1942,13488,7.4
The Pride of the Yankees,1942,12590,7.6
Random Harvest,1942,8865,7.9
The Talk of the Town,1942,9619,7.5
To Be or Not to Be,1942,47636,8.1
Woman of the Year,1942,11488,7.1
The Life and Death of Colonel Blimp,1943,17592,8.0
The Best Years of Our Lives,1946,75313,8.1
Jane Eyre,1943,9983,7.5
Brief Encounter,1945,46860,8.0
Christmas in Connecticut,1945,12968,7.3
Children of Paradise,1945,21988,8.3
I Know Where I'm Going!,1945,10814,7.4
Leave Her to Heaven,1945,15915,7.6
A Tree Grows in Brooklyn,1945,8770,8.0
Beauty and the Beast,1946,29184,7.9
Duel in the Sun,1946,10076,6.7
Gilda,1946,37496,7.6
A Matter of Life and Death,1946,26853,8.0
My Darling Clementine,1946,27383,7.7
The Strange Love of Martha Ivers,1946,11748,7.4
The Bachelor and the Bobby-Soxer,1947,10073,7.2
Gentleman's Agreement,1947,18592,7.2
Easter Parade,1948,11683,7.3
A Foreign Affair,1948,9055,7.3
Letter from an Unknown Woman,1948,14424,7.8
Mr. Blandings Builds His Dream House,1948,13346,7.2
The Red Shoes,1948,41819,8.1
Drunken Angel,1948,14157,7.6
Adam's Rib,1949,23868,7.4
The Fountainhead,1949,11407,7.0
The Heiress,1949,18327,8.1
I Was a Male War Bride,1949,9611,7.0
A Letter to Three Wives,1949,11362,7.7
Little Women,1949,8658,7.2
On the Town,1949,19498,7.3
Orpheus,1950,14068,7.8
Sands of Iwo Jima,1949,11971,7.0
Born Yesterday,1950,13206,7.5
Broken Arrow,1950,10370,7.1
Father of the Bride,1950,13177,7.1
Rio Grande,1950,18695,7.0
The African Queen,1951,87137,7.7
An American in Paris,1951,38347,7.1
Early Summer,1951,10285,8.0
A Place in the Sun,1951,26053,7.7
Quo Vadis,1951,17766,7.1
The Bad and the Beautiful,1952,17265,7.7
Limelight,1952,23293,8.0
The Quiet Man,1952,44534,7.7
Singin' in the Rain,1952,274301,8.3
Othello,1951,9919,7.5
The Band Wagon,1953,13248,7.4
Calamity Jane,1953,11649,7.2
From Here to Eternity,1953,53066,7.6
Gentlemen Prefer Blondes,1953,45641,7.1
Hondo,1953,13256,7.0
How to Marry a Millionaire,1953,26031,6.8
The Earrings of Madame De...,1953,11736,7.9
Mogambo,1953,9597,6.6
The Robe,1953,12477,6.7
Roman Holiday,1953,154202,8.0
Summer with Monika,1953,17119,7.5
Journey to Italy,1954,13245,7.3
Brigadoon,1954,9827,6.8
Hobson's Choice,1954,9569,7.7
Sabrina,1954,73658,7.6
Senso,1954,9264,7.4
Seven Brides for Seven Brothers,1954,28530,7.3
A Star Is Born,1954,20444,7.5
White Christmas,1954,55271,7.5
The Wild One,1953,18637,6.7
All That Heaven Allows,1955,17648,7.6
The Far Country,1954,9217,7.1
The Man with the Golden Arm,1955,12847,7.3
Marty,1955,29161,7.7
Oklahoma!,1955,15131,7.0
Picnic,1955,10363,7.0
The Seven Year Itch,1955,44817,7.0
Smiles of a Summer Night,1955,15298,7.7
Summertime,1955,10818,7.1
To Catch a Thief,1955,84126,7.4
We're No Angels,1955,11496,7.4
High Society,1956,18497,6.9
War and Peace,1956,11340,6.7
An Affair to Remember,1957,34851,7.4
Desk Set,1957,10002,7.2
Funny Face,1957,34643,7.0
The Cranes Are Flying,1957,21433,8.3
White Nights,1957,9695,7.7
Sayonara,1957,8472,7.0
Wild Strawberries,1957,121388,8.1
Auntie Mame,1958,13448,7.9
Bell Book and Candle,1958,14072,6.8
The Big Country,1958,22977,7.9
Gigi,1958,25540,6.6
Indiscreet,1958,10756,6.7
Ashes and Diamonds,1958,14314,7.7
Separate Tables,1958,9312,7.3
South Pacific,1958,10604,6.8
Vertigo,1958,447735,8.2
Ballad of a Soldier,1959,11896,8.2
Hiroshima Mon Amour,1959,38153,7.8
The Horse Soldiers,1959,12434,7.1
On the Beach,1959,15190,7.1
Operation Petticoat,1959,16793,7.2
Black Orpheus,1959,12973,7.4
Pillow Talk,1959,20299,7.4
Shadows,1958,13183,7.2
Some Like It Hot,1959,296919,8.2
The Apartment,1960,210238,8.3
L'Avventura,1960,35586,7.7
Mughal-E-Azam,1960,9276,8.1
North to Alaska,1960,8915,6.9
Saturday Night and Sunday Morning,1960,9756,7.5
The Time Machine,1960,46975,7.5
Last Year at Marienbad,1961,26221,7.6
