primaryTitle,startYear,numVotes,averageRating
Metropolis,1927,195744,8.3
Frankenstein,1931,84056,7.8
Dr. Jekyll and Mr. Hyde,1931,16927,7.6
The Invisible Man,1933,42328,7.6
Island of Lost Souls,1932,11790,7.3
Bride of Frankenstein,1935,56125,7.8
Son of Frankenstein,1939,12583,7.1
Dr. Jekyll and Mr. Hyde,1941,10363,6.8
The Day the Earth Stood Still,1951,88303,7.7
The Thing from Another World,1951,35493,7.0
The Man in the White Suit,1951,11289,7.2
Monkey Business,1952,16111,6.9
The War of the Worlds,1953,40288,7.0
Creature from the Black Lagoon,1954,36679,6.9
Godzilla,1954,43450,7.6
Them!,1954,25723,7.2
Forbidden Planet,1956,55772,7.5
Invasion of the Body Snatchers,1956,57797,7.7
The Curse of Frankenstein,1957,13610,7.0
The Incredible Shrinking Man,1957,21155,7.6
The Fly,1958,26977,7.1
On the Beach,1959,15190,7.1
The Tingler,1959,10149,6.6
The Time Machine,1960,46975,7.5
Village of the Damned,1960,20335,7.3
The Nutty Professor,1963,20144,6.6
The Last Man on Earth,1964,22927,6.7
Fahrenheit 451,1966,46701,7.2
Fantastic Voyage,1966,21868,6.8
Seconds,1966,23896,7.6
The Face of Another,1966,11352,7.9
Quatermass and the Pit,1967,12184,7.0
2001: A Space Odyssey,1968,758128,8.3
Planet of the Apes,1968,205864,8.0
Colossus: The Forbin Project,1970,10882,7.1
THX 1138,1971,56479,6.6
The Andromeda Strain,1971,42580,7.2
A Clockwork Orange,1971,915832,8.2
Silent Running,1972,32849,6.6
Slaughterhouse-Five,1972,14387,6.8
Solaris,1972,102471,7.9
Ivan Vasilyevich Changes His Profession,1973,19622,8.2
Fantastic Planet,1973,40164,7.6
Sleeper,1973,45834,7.1
Soylent Green,1973,73405,7.0
Westworld,1973,65443,6.9
The Stepford Wives,1975,20831,6.9
Logan's Run,1976,63846,6.8
The Man Who Fell to Earth,1976,30241,6.6
Close Encounters of the Third Kind,1977,226641,7.6
Battlestar Galactica,1978,11365,6.8
The Boys from Brazil,1978,32567,7.0
Invasion of the Body Snatchers,1978,76790,7.4
Superman,1978,199217,7.4
Alien,1979,1023182,8.5
The Brood,1979,36635,6.8
Mad Max,1979,239699,6.8
Phantasm,1979,43327,6.6
Stalker,1979,152193,8.0
Time After Time,1979,21729,7.0
Altered States,1980,40552,6.9
The Final Countdown,1980,28810,6.7
Scanners,1981,65358,6.7
Superman II,1980,120518,6.8
Escape from New York,1981,166754,7.1
The Road Warrior,1981,208675,7.6
Outland,1981,33898,6.6
Blade Runner,1982,858090,8.1
E.T. the Extra-Terrestrial,1982,456306,7.9
