primaryTitle,startYear,numVotes,averageRating
Night and the City,1950,16049,7.8
The Harder They Fall,1956,9721,7.5
Somebody Up There Likes Me,1956,9413,7.5
Rocco and His Brothers,1960,24386,8.2
The Hustler,1961,89367,7.9
The Loneliness of the Long Distance Runner,1962,9769,7.5
Grand Prix,1966,11413,7.2
Fat City,1972,11060,7.2
Hard Times,1975,12958,7.2
Rocky,1976,664722,8.1
Pumping Iron,1977,26117,7.3
Slap Shot,1977,43689,7.2
The Black Stallion,1979,14830,7.4
Breaking Away,1979,26769,7.7
The Champ,1979,9679,6.8
Rocky II,1979,241730,7.3
Caddyshack,1980,131680,7.2
Raging Bull,1980,397913,8.1
Chariots of Fire,1981,69230,7.1
Victory,1981,34758,6.7
Rocky III,1982,220941,6.9
The Natural,1984,54551,7.4
Rocky IV,1985,237206,6.9
Vision Quest,1985,11168,6.7
Back to School,1986,38198,6.7
The Color of Money,1986,97897,7.0
Hoosiers,1986,55212,7.4
Bull Durham,1988,62342,7.0
Eight Men Out,1988,23297,7.2
The Big Blue,1988,57150,7.5
Major League,1989,80286,7.2
A League of Their Own,1992,126509,7.4
The Power of One,1992,11167,7.1
White Men Can't Jump,1992,102602,6.8
Rudy,1993,72104,7.5
Searching for Bobby Fischer,1993,43745,7.4
Above the Rim,1994,17804,6.6
Hoop Dreams,1994,28984,8.3
Happy Gilmore,1996,267714,7.0
Kingpin,1996,94416,6.9
When We Were Kings,1996,19972,7.9
The Boxer,1997,23201,7.0
Children of Heaven,1997,86695,8.2
He Got Game,1998,53576,6.9
For Love of the Game,1999,39275,6.6
"Mystery, Alaska",1999,29167,6.7
Any Given Sunday,1999,129084,6.9
The Legend of Bagger Vance,2000,61037,6.7
Lagaan: Once Upon a Time in India,2001,124959,8.1
The Hurricane,1999,105610,7.6
Finding Forrester,2000,91885,7.3
The Replacements,2000,72465,6.6
Love & Basketball,2000,25721,7.2
Girlfight,2000,11760,6.7
Beyond the Mat,1999,9668,7.6
Ali,2001,108556,6.7
The Rookie,2002,38462,6.9
Poolhall Junkies,2002,11286,6.8
Dogtown and Z-Boys,2001,13627,7.6
Radio,2003,45610,6.9
Seabiscuit,2003,78770,7.3
Lords of Dogtown,2005,59819,7.1
Dodgeball: A True Underdog Story,2004,277353,6.7
Goal! The Dream Begins,2005,67624,6.7
Before the Fall,2004,18741,7.4
Green Street Hooligans,2005,167289,7.4
The Football Factory,2004,33916,6.7
Glory Road,2006,50201,7.2
The Greatest Game Ever Played,2005,35065,7.4
Friday Night Lights,2004,69113,7.2
Coach Carter,2005,181641,7.3
Million Dollar Baby,2004,749707,8.1
Rudo y Cursi,2008,9510,6.7
The World's Fastest Indian,2005,62102,7.8
Talladega Nights: The Ballad of Ricky Bobby,2006,208273,6.6
Resurrecting the Champ,2007,21610,6.7
Dreamer,2005,14477,6.8
Murderball,2005,10617,7.7
Peaceful Warrior,2006,30882,7.2
Invincible,2006,77788,7.0
42,2013,106338,7.5
Iqbal,2005,18127,8.1
The Express,2008,23296,7.2
Rocky Balboa,2006,238206,7.1
We Are Marshall,2006,66599,7.1
Hot Rod,2007,96956,6.7
Forever Strong,2008,11392,7.1
Chak De! India,2007,87997,8.1
The Blind Side,2009,376613,7.6
The King of Kong: A Fistful of Quarters,2007,38217,8.0
Shelter,2007,25019,7.6
Pele: Birth of a Legend,2016,22290,7.1
Redbelt,2008,21790,6.7
Schumacher,2021,26803,7.4
Tyson,2008,13086,7.4
Arthur the King,2024,35272,7.0
Rashmi Rocket,2021,12723,7.1
Creed III,2023,101569,6.7
The Wrestler,2008,326474,7.9
Bigger Stronger Faster*,2008,13990,7.5
Sarpatta Parambarai,2021,27175,8.5
Whip It,2009,71599,6.9
Athlete A,2020,13163,7.6
Moneyball,2011,490548,7.6
Big George Foreman,2023,11869,6.6
The Damned United,2009,47404,7.5
Warrior,2011,517130,8.1
14 Peaks: Nothing Is Impossible,2021,32205,7.7
Senna,2010,81478,8.5
Goon,2011,92872,6.8
Champions,2023,33700,6.8
Ghoomer,2023,12688,7.5
Win Win,2011,55903,7.1
Bleed for This,2016,32643,6.8
Chasing Mavericks,2012,35569,7.1
F1: The Movie,2025,100919,7.9
Air,2023,185743,7.4
United,2011,13622,7.3
Hands of Stone,2016,18306,6.6
Southpaw,2015,270093,7.3
Unbroken,2014,191627,7.2
The Boys in the Boat,2023,28419,7.0
Kaun Pravin Tambe?,2022,11531,8.3
Rush,2013,539388,8.1
Populaire,2012,13025,6.8
Trouble with the Curve,2012,70813,6.8
"McFarland, USA",2015,44821,7.4
The Iron Claw,2023,107325,7.6
The Redeem Team,2022,12030,7.4
Kai Po Che,2013,39521,7.8
Draft Day,2014,71153,6.8
Bhaag Milkha Bhaag,2013,75166,8.2
The Deepest Breath,2023,16455,7.7
Meru,2015,20031,7.7
Sitaare Zameen Par,2025,24141,7.2
Greater,2016,9486,7.3
Creed,2015,323761,7.6
Concussion,2015,103247,7.1
Race,2016,43038,7.1
Brian Banks,2018,10561,7.2
M.S. Dhoni: The Untold Story,2016,72464,8.0
Queen of Katwe,2016,19484,7.4
Handsome Devil,2016,18067,7.0
Jersey,2022,15241,7.3
Nyad,2023,43308,7.1
Irudhi Suttru,2016,12787,7.6
Lean on Pete,2017,14537,7.1
Diego Maradona,2019,18862,7.7
Borg vs. McEnroe,2017,35506,6.9
Gold,2018,15232,7.3
Icarus,2017,56814,7.9
Creed II,2018,163774,7.1
The Brawler,2017,9156,8.0
The Dawn Wall,2017,21853,8.1
The Game Changers,2018,22393,7.8
Sink or Swim,2018,12658,6.9
Minding the Gap,2018,10855,8.0
Free Solo,2018,82323,8.1
Hustle,2022,156248,7.3
12 Mighty Orphans,2021,9686,6.9
The Way Back,2020,55102,6.7
Waves,2019,35260,7.5
The Swimmers,2022,38961,7.4
Jersey,2019,25328,8.5
Chhalaang,2020,20273,6.7
Jhund,2022,26065,7.4
Bigil,2019,26285,6.7
King Richard,2021,148143,7.5
