primaryTitle,startYear,numVotes,averageRating
The Cabinet of Dr. Caligari,1920,73858,8.0
Our Hospitality,1923,13142,7.7
Battleship Potemkin,1925,63622,7.9
Greed,1924,11291,8.0
M,1931,178208,8.3
The Testament of Dr. Mabuse,1933,14199,7.9
The 39 Steps,1935,64330,7.6
The Petrified Forest,1936,15617,7.5
Sabotage,1936,19935,7.0
The Hound of the Baskervilles,1939,12386,7.4
The Roaring Twenties,1939,16732,7.9
Cat People,1942,27575,7.2
Saboteur,1942,29068,7.1
Arsenic and Old Lace,1944,77208,7.9
The Body Snatcher,1945,10892,7.3
"Rome, Open City",1945,32362,8.0
Dark Passage,1947,23248,7.5
Stage Fright,1950,17272,7.0
High Noon,1952,114175,7.9
The Naked Spur,1953,13345,7.3
I Confess,1953,24553,7.2
Niagara,1953,21258,7.0
The Wages of Fear,1953,71180,8.1
The War of the Worlds,1953,40288,7.0
On the Waterfront,1954,173581,8.1
Rear Window,1954,550965,8.5
Bob le Flambeur,1956,13948,7.6
Rififi,1955,38242,8.1
The Bad Seed,1956,16777,7.4
A Man Escaped,1956,29568,8.2
3:10 to Yuma,1957,23067,7.6
The Curse of Frankenstein,1957,13610,7.0
Elevator to the Gallows,1958,30439,7.9
Vertigo,1958,447735,8.2
"Suddenly, Last Summer",1959,18320,7.5
Peeping Tom,1960,42246,7.6
Purple Noon,1960,22621,7.7
Shoot the Piano Player,1960,21435,7.4
The Hole,1960,22174,8.5
The Bad Sleep Well,1960,14952,8.0
Le Doulos,1962,12776,7.7
Yojimbo,1961,138833,8.2
Cape Fear,1962,33507,7.7
Dr. No,1962,187259,7.2
The Manchurian Candidate,1962,82867,7.9
Knife in the Water,1962,24495,7.4
Sanjuro,1962,43022,8.0
What Ever Happened to Baby Jane?,1962,65359,8.0
From Russia with Love,1963,151988,7.3
The Great Escape,1963,270470,8.2
Lord of the Flies,1963,21290,6.9
The Trial,1962,25882,7.6
Shock Corridor,1963,13648,7.3
Fail Safe,1964,26332,8.0
Onibaba,1964,24221,7.9
Seven Days in May,1964,18233,7.8
Woman in the Dunes,1964,24412,8.4
Bunny Lake Is Missing,1965,10884,7.3
The Collector,1965,12606,7.5
The Ipcress File,1965,18768,7.2
Repulsion,1965,59938,7.6
The Spy Who Came in from the Cold,1965,19786,7.5
Thunderball,1965,132358,6.9
The Train,1964,20756,7.8
Blow-Up,1966,70895,7.4
The Chase,1966,14502,7.1
Cul-de-sac,1966,14566,7.0
Persona,1966,136938,8.0
Seconds,1966,23896,7.6
The Face of Another,1966,11352,7.9
Torn Curtain,1966,30791,6.6
In the Heat of the Night,1967,88124,7.9
Point Blank,1967,24948,7.3
Le Samouraï,1967,63011,8.0
