primaryTitle,startYear,numVotes,averageRating
Greed,1924,11291,8.0
Destry Rides Again,1939,13117,7.6
Stagecoach,1939,56932,7.8
The Ox-Bow Incident,1943,26216,8.0
Duel in the Sun,1946,10076,6.7
My Darling Clementine,1946,27383,7.7
3 Godfathers,1948,11229,7.0
Fort Apache,1948,20720,7.4
Red River,1948,36578,7.7
The Treasure of the Sierra Madre,1948,138255,8.2
She Wore a Yellow Ribbon,1949,20277,7.2
Broken Arrow,1950,10370,7.1
The Gunfighter,1950,13771,7.7
Rio Grande,1950,18695,7.0
Winchester '73,1950,23348,7.6
High Noon,1952,114175,7.9
The Naked Spur,1953,13345,7.3
Shane,1953,46286,7.6
Johnny Guitar,1954,20884,7.6
Vera Cruz,1954,12294,7.0
The Man from Laramie,1955,12738,7.3
Giant,1956,44048,7.6
The Searchers,1956,100843,7.8
Gunfight at the O.K. Corral,1957,18383,7.1
The Big Country,1958,22977,7.9
Man of the West,1958,10229,7.0
Rio Bravo,1959,71395,8.0
The Comancheros,1961,10516,6.8
The Misfits,1961,24709,7.2
One-Eyed Jacks,1961,14424,7.1
Lonely Are the Brave,1962,10602,7.5
The Man Who Shot Liberty Valance,1962,86269,8.1
Ride the High Country,1962,15605,7.4
Hud,1963,25158,7.8
McLintock!,1963,17650,7.1
A Fistful of Dollars,1964,245967,7.9
Cat Ballou,1965,17002,6.7
For a Few Dollars More,1965,290830,8.2
Shenandoah,1965,10137,7.3
The Sons of Katie Elder,1965,20177,7.1
"The Good, the Bad and the Ugly",1966,861107,8.8
Django,1966,32822,7.2
El Dorado,1966,32276,7.5
Hang 'Em High,1968,46487,7.0
Hombre,1967,15020,7.4
The War Wagon,1967,11574,6.8
The Great Silence,1968,19505,7.7
Once Upon a Time in the West,1968,370939,8.5
Death Rides a Horse,1967,10288,7.0
Paint Your Wagon,1969,15630,6.6
Support Your Local Sheriff!,1969,13757,7.4
True Grit,1969,53655,7.4
Chisum,1970,11551,6.8
Little Big Man,1970,39369,7.5
Rio Lobo,1970,14640,6.7
Big Jake,1971,15290,7.1
"Duck, You Sucker!",1971,39780,7.5
They Call Me Trinity,1970,26843,7.4
McCabe & Mrs. Miller,1971,29300,7.6
Red Sun,1971,11873,6.8
El Topo,1970,32624,7.2
Trinity Is Still My Name,1971,18438,7.2
The Cowboys,1972,16739,7.4
High Plains Drifter,1973,69349,7.4
Jeremiah Johnson,1972,36991,7.6
My Name Is Nobody,1973,31068,7.3
Pat Garrett & Billy the Kid,1973,22478,7.2
Blazing Saddles,1974,159520,7.7
Rooster Cogburn,1975,13941,6.8
The Outlaw Josey Wales,1976,83930,7.8
The Shootist,1976,28382,7.6
Heaven's Gate,1980,18415,6.7
Pale Rider,1985,68418,7.3
Silverado,1985,52479,7.2
Young Guns,1988,71503,6.8
Dances with Wolves,1990,302311,8.0
City Slickers,1991,66029,6.8
Of Mice and Men,1992,49683,7.4
Unforgiven,1992,457024,8.2
Geronimo: An American Legend,1993,14505,6.6
Dead Man,1995,106594,7.5
Lone Star,1996,34458,7.4
The Horse Whisperer,1998,44861,6.7
Manitou's Shoe,2001,21274,6.7
The Proposition,2005,56755,7.3
The Power of the Dog,2021,201201,6.8
The Harder They Fall,2021,74955,6.6
Redeeming Love,2022,17982,6.7
Old Henry,2021,41332,7.3
True Grit,2010,368426,7.6
The Revenant,2015,916652,8.0
Horizon: An American Saga - Chapter 1,2024,41742,6.6
Django Unchained,2012,1804324,8.5
Brimstone,2016,47557,7.0
The Homesman,2014,37560,6.6
Bone Tomahawk,2015,132991,7.1
The Dark Valley,2014,14904,7.1
The Sisters Brothers,2018,73945,6.9
Hostiles,2017,102147,7.2
Lucky,2017,27517,7.3
The Rider,2017,21415,7.4
First Cow,2019,23369,7.1
