averageRating,numVotes,primaryTitle,startYear,genres
7.0,3854,Dante's Inferno,1911,"Adventure,Drama,Fantasy"
6.9,2646,Fantômas: In the Shadow of the Guillotine,1913,"Crime,Drama"
7.0,1542,Ingeborg Holm,1913,Drama
6.9,1796,Fantomas: The Man in Black,1913,"Crime,Drama"
7.1,4190,Cabiria,1914,"Adventure,Drama,History"
6.8,1514,Fantomas: The Mysterious Finger Print,1914,"Crime,Drama"
6.8,1512,The Regeneration,1915,"Biography,Crime,Drama"
7.3,5721,Les Vampires,1915,"Action,Adventure,Crime"
7.7,17494,Intolerance,1916,"Drama,History"
6.7,1613,The Poor Little Rich Girl,1917,"Comedy,Drama,Family"
7.3,2489,A Man There Was,1917,"Drama,War"
7.1,2234,The Outlaw and His Wife,1918,Drama
6.8,1649,Stella Maris,1918,Drama
7.0,1629,Different from the Others,1919,"Crime,Drama,History"
7.1,2328,The Oyster Princess,1919,Comedy
6.9,1765,Blind Husbands,1919,"Drama,Romance"
7.2,11519,Broken Blossoms,1919,"Drama,Romance"
6.6,1501,Daddy-Long-Legs,1919,"Comedy,Drama,Musical"
7.1,1647,Sir Arne's Treasure,1919,"Drama,History"
6.8,1759,I Don't Want to Be a Man,1918,"Comedy,Romance"
7.7,2271,J'accuse!,1919,"Drama,Horror,War"
8.0,73858,The Cabinet of Dr. Caligari,1920,"Horror,Mystery,Thriller"
7.0,2038,Male and Female,1919,"Adventure,Drama"
7.4,2562,The Doll,1919,"Comedy,Fantasy,Sci-Fi"
6.9,2091,True Heart Susie,1919,"Comedy,Drama,Romance"
6.9,6432,Dr. Jekyll and Mr. Hyde,1920,"Drama,Horror,Sci-Fi"
7.2,9133,The Golem,1920,"Fantasy,Horror"
6.7,1522,The Last of the Mohicans,1920,"Action,Adventure,Drama"
7.0,2960,The Mark of Zorro,1920,"Adventure,Drama,Romance"
7.3,2791,The Penalty,1920,"Crime,Drama,Horror"
7.1,1609,The Parson's Widow,1920,"Comedy,Drama,Horror"
7.3,6149,Way Down East,1920,"Drama,Romance"
6.7,1543,Why Change Your Wife?,1920,"Comedy,Drama"
7.1,3741,The Four Horsemen of the Apocalypse,1921,"Drama,Romance,War"
8.2,142211,The Kid,1921,"Comedy,Drama,Family"
8.0,15137,The Phantom Carriage,1921,"Drama,Fantasy,Horror"
7.6,7097,Destiny,1921,"Drama,Fantasy,Horror"
7.3,5665,Orphans of the Storm,1921,"Drama,History,Romance"
7.1,2011,Tol'able David,1921,Drama
6.7,2449,Beyond the Rocks,1922,"Drama,Romance"
7.0,1757,Dr. Jack,1922,"Comedy,Romance"
7.8,9652,"Dr. Mabuse, the Gambler",1922,"Crime,Mystery,Thriller"
7.0,4255,Foolish Wives,1922,"Drama,Thriller"
7.0,2163,Grandma's Boy,1922,"Comedy,Family"
7.6,18186,Häxan,1922,"Documentary,Fantasy,Horror"
7.6,14031,Nanook of the North,1922,Documentary
7.8,119617,Nosferatu: A Symphony of Horror,1922,"Fantasy,Horror"
6.7,2049,Phantom,1922,"Drama,Romance"
7.0,2604,Robin Hood,1922,"Adventure,Family,Romance"
7.4,1551,The Faithful Heart,1923,"Drama,Romance"
7.2,6500,The Hunchback of Notre Dame,1923,"Drama,Horror,Romance"
7.7,13142,Our Hospitality,1923,"Comedy,Romance,Thriller"
7.2,5969,The Pilgrim,1923,"Comedy,Western"
7.5,2701,The Wheel,1923,Drama
8.1,24122,Safety Last!,1923,"Action,Comedy,Romance"
6.8,2858,The Ten Commandments,1923,"Biography,Drama,History"
7.0,5578,Three Ages,1923,Comedy
6.6,2485,Waxworks,1924,"Fantasy,Horror"
7.3,2169,Why Worry?,1923,"Adventure,Comedy,Family"
6.9,6629,A Woman of Paris: A Drama of Fate,1923,"Drama,Romance"
7.7,3860,Girl Shy,1924,"Comedy,Romance"
7.7,4652,He Who Gets Slapped,1924,"Drama,Horror,Romance"
7.1,1684,Hot Water,1924,Comedy
7.2,2669,The Iron Horse,1924,"Drama,History,Romance"
8.0,16024,The Last Laugh,1924,Drama
7.0,1596,The Marriage Circle,1924,Comedy
7.1,2173,Michael,1924,"Drama,Romance"
7.5,11707,The Navigator,1924,"Action,Adventure,Comedy"
7.9,5338,Die Nibelungen: Kriemhild's Revenge,1924,"Adventure,Drama,Fantasy"
8.1,6984,Die Nibelungen: Siegfried,1924,"Adventure,Drama,Fantasy"
7.0,3693,The Hands of Orlac,1924,"Crime,Horror,Mystery"
7.1,2072,Paris Asleep,1925,"Comedy,Sci-Fi"
8.2,62879,Sherlock Jr.,1924,"Action,Comedy,Romance"
7.6,9153,Strike,1925,Drama
7.7,7419,The Thief of Bagdad,1924,"Adventure,Family,Fantasy"
7.8,7408,The Adventures of Prince Achmed,1926,"Adventure,Animation,Drama"
7.9,7627,The Big Parade,1925,"Drama,Romance,War"
7.9,63622,Battleship Potemkin,1925,"Drama,History,Thriller"
7.0,2532,Master of the House,1925,"Comedy,Drama"
6.6,2414,The Eagle,1925,"Action,Adventure,Comedy"
7.5,6379,The Freshman,1925,"Comedy,Family,Romance"
7.0,1806,The Joyless Street,1925,Drama
7.1,5347,Go West,1925,"Comedy,Western"
8.1,125029,The Gold Rush,1925,"Adventure,Comedy,Drama"
8.0,11291,Greed,1924,"Drama,Thriller,Western"
7.0,1997,The Little Colonel,1935,"Comedy,Family,Musical"
6.9,6228,The Lost World,1925,"Adventure,Fantasy,Horror"
7.2,2692,The Merry Widow,1925,"Drama,Romance"
7.5,21320,The Phantom of the Opera,1925,"Horror,Music"
7.8,12520,Seven Chances,1925,"Comedy,Romance"
7.1,2428,The Unholy Three,1925,"Crime,Drama,Romance"
7.0,4231,Battling Butler,1926,"Comedy,Romance,Sport"
7.8,8211,Ben-Hur: A Tale of the Christ,1925,"Action,Adventure,Drama"
7.0,2279,The Black Pirate,1926,"Action,Adventure"
7.2,1744,La Bohème,1926,"Drama,Romance"
8.1,17632,Faust,1926,"Drama,Fantasy,Horror"
7.6,4822,Flesh and the Devil,1926,"Drama,Romance"
7.5,2067,For Heaven's Sake,1926,"Action,Comedy,Romance"
7.3,5040,A Page of Madness,1926,"Drama,Horror,Thriller"
7.3,14418,The Lodger: A Story of the London Fog,1927,"Crime,Drama,Mystery"
7.4,3213,Mother,1926,Drama
8.3,195744,Metropolis,1927,"Drama,Sci-Fi"
7.6,2084,The Scarlet Letter,1926,Drama
6.6,2211,The Son of the Sheik,1926,"Adventure,Drama,Romance"
7.3,1602,Sparrows,1926,Drama
7.1,2858,Tartuffe,1925,"Comedy,Drama"
7.5,1626,3 Bad Men,1926,"Drama,Romance,Western"
6.6,2012,West Point,1927,"Drama,Romance,Sport"
7.6,5016,Berlin: Symphony of Metropolis,1927,Documentary
7.1,3639,The Cat and the Canary,1927,"Comedy,Horror,Mystery"
6.9,5717,College,1927,"Comedy,Drama,Sport"
8.1,103483,The General,1926,"Action,Adventure,Comedy"
7.2,3841,It,1927,"Comedy,Romance"
7.6,5086,The Kid Brother,1927,"Comedy,Drama,Family"
7.3,2577,The King of Kings,1927,"Biography,Drama,Family"
7.3,1935,The End of St. Petersburg,1927,Drama
6.7,1536,London After Midnight,1927,"Horror,Mystery,Thriller"
8.2,9449,Napoleon,1927,"Biography,Drama,History"
7.4,8818,October (Ten Days that Shook the World),1928,"Drama,History"
6.8,1555,The Red Mill,1927,"Comedy,Romance"
7.5,4471,7th Heaven,1927,"Drama,Romance"
7.5,1764,The Student Prince in Old Heidelberg,1927,"Drama,Romance"
8.1,55628,Sunrise,1927,"Drama,Romance"
7.1,1697,Tell It to the Marines,1926,"Comedy,Drama,Romance"
7.5,3726,Underworld,1927,"Crime,Drama,Film-Noir"
7.7,9889,The Unknown,1927,"Drama,Horror,Romance"
7.5,15564,Wings,1927,"Action,Drama,Romance"
7.7,12547,Pandora's Box,1929,"Crime,Drama,Romance"
8.0,14003,The Cameraman,1928,"Comedy,Drama,Family"
7.2,4840,The Fall of the House of Usher,1928,"Drama,Fantasy,Horror"
8.1,37589,The Circus,1928,"Comedy,Family,Romance"
8.0,9728,The Crowd,1928,"Drama,Romance"
7.5,5335,The Docks of New York,1928,"Crime,Drama,Film-Noir"
7.9,4855,The Last Command,1928,"Drama,Romance,War"
7.5,2245,"Laugh, Clown, Laugh",1928,"Drama,Romance"
7.7,2807,Lonesome,1928,"Comedy,Drama,Romance"
7.6,8778,The Man Who Laughs,1928,"Drama,Horror,Mystery"
7.2,1514,The Mysterious Lady,1928,"Drama,Romance"
6.7,2125,Our Dancing Daughters,1928,Drama
8.1,65750,The Passion of Joan of Arc,1928,"Biography,Drama,History"
